gene_symbol	log2_fold_change	mean_test	mean_control	pvalue	pvalue_adjusted	direction	significant
DEFB4B	8.2931	334.5283	0.4663	1.66e-11	4.19e-09	up	yes
TEX101	7.1678	92.4906	9.4294	5.09e-40	9.23e-36	up	yes
LCE3D	7.0638	291293.1509	338.9755	8.06e-23	1.83e-19	up	yes
DEFB4A	6.8958	3739.2075	19.8098	2.41e-18	2.73e-15	up	yes
SPRR2B	6.5409	62871.5283	79.7055	1.96e-17	1.97e-14	up	yes
SPRR2A	6.3314	128282.7547	315.1963	1.99e-16	1.44e-13	up	yes
SPRR2F	6.3300	10533.8113	20.7975	1.28e-15	8.28e-13	up	yes
CCL17	6.0511	7048.0189	40.6871	1.17e-20	1.93e-17	up	yes
IDO1	6.0077	19595.0189	151.3374	6.37e-35	5.77e-31	up	yes
FOXD4L3	5.9936	493.9623	2.1595	1.91e-16	1.44e-13	up	yes
CRCT1	5.9822	250890.1887	978.3374	1.79e-13	6.51e-11	up	yes
DEFB103B	5.9040	1098.6604	12.0675	1.01e-14	5.07e-12	up	yes
IL36A	5.7470	214.8679	1.2393	6.84e-12	1.91e-09	up	yes
GNG8	5.6836	632.5472	38.3129	1.75e-20	2.64e-17	up	yes
LCE3E	5.5481	30045.3019	120.8037	4.12e-14	1.70e-11	up	yes
LCE3A	5.4991	821.9245	5.2086	1.20e-16	9.90e-14	up	yes
DEFB103A	5.4534	4404.4340	32.2945	7.68e-17	6.72e-14	up	yes
CNFN	5.4119	190085.0943	784.3742	6.72e-22	1.36e-18	up	yes
SPRR2E	5.3153	304040.3396	1324.1656	9.24e-12	2.44e-09	up	yes
VMO1	5.2305	5067.6792	89.4479	9.86e-27	3.58e-23	up	yes
SPRR2D	5.0394	98282.1698	883.0000	1.95e-11	4.85e-09	up	yes
S100A7A	4.9333	23418.8679	419.1472	1.34e-09	1.94e-07	up	yes
S100A9	4.7656	357537.2830	16200.7546	3.49e-10	6.08e-08	up	yes
CTLA4	4.5567	2487.9057	132.6564	1.72e-15	1.04e-12	up	yes
SLPI	4.5401	133232.4151	2307.9571	3.89e-13	1.36e-10	up	yes
SPRR2G	4.4599	104105.6038	857.8834	3.55e-08	2.97e-06	up	yes
CCR7	4.4282	11424.8491	307.3988	3.20e-21	5.81e-18	up	yes
S100A7	4.4239	158636.4340	7643.2577	3.97e-08	3.23e-06	up	yes
IL36G	4.4030	7691.6604	130.5460	1.15e-13	4.35e-11	up	yes
GOLGA6L6	4.4006	106.2075	2.3865	9.08e-06	2.53e-04	up	yes
