direction	term_id	term_name	source	pvalue_adjusted	intersection_size	term_size	precision	recall	genes
down	GO:0005694	chromosome	GO:CC	1.16e-14	75	2001	0.2568	0.0375	NR0B1,HOXB9,PRAME,H2BC17,SP9,HOXC13,HOXC10,MNX1,NKX2-5,HOXC9,ONECUT2,POU4F1,HOXA13,CBX2,E2F1,LHX8,LHX2,RECQL4,ALX1,ETV4,SIX2,TBX18,H3C10,TOP2A,GBX2,HNF1B,ASF1B,ISL2,NCAPG,H4C5,MCM2,CDCA5,DTL,KIF2C,HOXA10,CDC45,MKI67,H3C11,BARX1,AURKB,HJURP,CDKN2A,EN2,KIF4A,GATA3,HES7,H3C12,EPOP,BIRC5,HROB,DMRTA2,CDT1,HAND1,HOXB8,FOXD3,ZWINT,DLX1,IRX4,FOXM1,INCENP,H3C14,PLK1,H2BC11,ANKRD2,FOXA3,H4C2,PITX1,LHX1,GATA4,CENPA,PRC1,H4C14,CCNB1,MYCN,RUNX3
down	GO:0000785	chromatin	GO:CC	1.51e-12	58	1404	0.1986	0.0413	NR0B1,HOXB9,PRAME,H2BC17,SP9,HOXC13,HOXC10,MNX1,NKX2-5,HOXC9,ONECUT2,POU4F1,HOXA13,CBX2,E2F1,LHX8,LHX2,ALX1,ETV4,SIX2,TBX18,H3C10,GBX2,HNF1B,ASF1B,ISL2,H4C5,MCM2,CDCA5,HOXA10,H3C11,BARX1,CDKN2A,EN2,GATA3,HES7,H3C12,DMRTA2,HAND1,HOXB8,FOXD3,DLX1,IRX4,FOXM1,INCENP,H3C14,PLK1,H2BC11,ANKRD2,FOXA3,H4C2,PITX1,LHX1,GATA4,CENPA,H4C14,MYCN,RUNX3
down	GO:0048856	anatomical structure development	GO:BP	1.66e-12	143	5997	0.5125	0.0238	KRT81,NR0B1,HOXB9,CPLX2,ZIC2,IGFBP1,ZNF683,SP9,HOXC13,GABRA5,INA,HOXC10,CA9,MNX1,NKX2-5,ZIC5,L1CAM,ICOS,ITGA2B,HOXC9,ONECUT2,KLK6,NEFL,POU4F1,UGT1A9,NRCAM,SAPCD2,HOXA13,TM4SF4,B4GALNT1,MYRF,CBX2,SPRR3,LCK,DLL3,E2F1,TNNT1,UPK1B,SPOCK2,IGF2BP3,LHX8,LHX2,ALX1,ETV4,CYP26A1,TRIM67,SIX2,RAC3,FGL1,CD8A,TBX18,COCH,FEZF2,VGF,WDR72,TOP2A,IGF2BP1,KRT86,PRDM13,GRIN2D,SLC7A5,PKP3,THEMIS,GBX2,HNF1B,FGF11,ASF1B,CD3D,STRA6,SH2D2A,ALOX12,G6PD,ISL2,KRT83,H4C5,MCM2,PF4,HHIP,HOXA10,C1QL1,RTKN2,TESC,BARX1,SULT4A1,AURKB,CDKN2A,EN2,UNC5D,GATA3,HES7,PLAAT1,EPOP,CELSR3,GABRB3,CXCR3,DMRTA2,CXCR4,CTNND2,HAND1,HOXB8,MBOAT7,HCLS1,ANKRD1,SERPINB3,FOXD3,MYO18B,IL1B,DLX1,OVOL1,CD2,IRX4,RBM38,EXO1,IQGAP3,DMTN,PTHLH,DDC,IL1A,TACC3,ANKRD2,PRR7,FOXA3,SYNGR3,H4C2,PITX1,ACHE,SASH3,PCDHA12,CORO1A,S100A7,RAB26,ARHGDIB,LHX1,GATA4,SLC9A2,ADORA2A,H4C14,DDR1,CCNB1,SMOC1,CEP55,LRFN1,RUNX3
down	REAC:R-HSA-69278	Cell Cycle, Mitotic	REAC	1.79e-12	39	549	0.2155	0.0710	MYBL2,H2BC17,E2F1,UBE2S,H3C10,TOP2A,PKMYT1,UBE2C,NCAPG,H4C5,MCM2,CDCA5,KIF2C,CDC45,CDC25C,H3C11,AURKB,CDKN2A,H3C12,TK1,TPX2,BIRC5,CDT1,TUBB4A,ZWINT,CCND3,CDC6,FOXM1,INCENP,H3C14,PLK1,H2BC11,LMNB1,H4C2,ESPL1,HMMR,CENPA,H4C14,CCNB1
down	GO:1903047	mitotic cell cycle process	GO:BP	2.20e-11	41	745	0.1470	0.0550	MYBL2,SAPCD2,HOXA13,E2F1,UBE2S,PKMYT1,UBE2C,NCAPG,MCM2,CDCA5,DTL,KIF2C,CDC45,CDC25C,MKI67,AURKB,CDKN2A,KIF4A,TK1,TPX2,BIRC5,CDT1,KIF18B,ZWINT,IL1B,CCND3,CDC6,FOXM1,IQGAP3,INCENP,IL1A,PLK1,TACC3,FSD1,CDKN3,ESPL1,CENPA,PRC1,TICRR,CCNB1,CEP55
down	GO:0032502	developmental process	GO:BP	4.29e-11	148	6553	0.5305	0.0226	KRT81,NR0B1,HOXB9,PRAME,CPLX2,ZIC2,IGFBP1,ZNF683,SP9,HOXC13,GABRA5,INA,HOXC10,CA9,MNX1,NKX2-5,ZIC5,L1CAM,ICOS,ITGA2B,HOXC9,ONECUT2,KLK6,NEFL,POU4F1,UGT1A9,NRCAM,SAPCD2,HOXA13,TM4SF4,B4GALNT1,MYRF,CBX2,SPRR3,LCK,DLL3,E2F1,TNNT1,UPK1B,SPOCK2,IGF2BP3,LHX8,LHX2,ALX1,ETV4,CYP26A1,TRIM67,SIX2,RAC3,FGL1,CD8A,TBX18,COCH,FEZF2,VGF,WDR72,TOP2A,IGF2BP1,KRT86,PRDM13,GRIN2D,SLC7A5,PKP3,THEMIS,GBX2,HNF1B,FGF11,ASF1B,CD3D,STRA6,SH2D2A,ALOX12,G6PD,ISL2,KRT83,H4C5,MCM2,PF4,C1QL4,HHIP,HOXA10,C1QL1,CDC25C,RTKN2,TESC,BARX1,SULT4A1,AURKB,CDKN2A,EN2,UNC5D,GATA3,HES7,PLAAT1,EPOP,CELSR3,GABRB3,CXCR3,DMRTA2,CXCR4,CTNND2,HAND1,HOXB8,MBOAT7,HCLS1,ANKRD1,SERPINB3,FOXD3,MYO18B,IL1B,DLX1,OVOL1,CD2,IRX4,RBM38,EXO1,IQGAP3,DMTN,PTHLH,PLEKHB1,DDC,IL1A,TACC3,ANKRD2,PRR7,FOXA3,SYNGR3,H4C2,PITX1,ACHE,SASH3,PCDHA12,CORO1A,S100A7,RAB26,ARHGDIB,ATP6V0A4,LHX1,GATA4,SLC9A2,ADORA2A,H4C14,DDR1,CCNB1,SMOC1,CEP55,LRFN1,RUNX3
down	REAC:R-HSA-1640170	Cell Cycle	REAC	7.80e-11	41	679	0.2265	0.0604	MYBL2,H2BC17,E2F1,UBE2S,H3C10,TOP2A,PKMYT1,UBE2C,NCAPG,H4C5,MCM2,CDCA5,KIF2C,CDC45,CDC25C,H3C11,AURKB,HJURP,CDKN2A,H3C12,TK1,TPX2,BIRC5,CDT1,TUBB4A,ZWINT,CCND3,CDC6,EXO1,FOXM1,INCENP,H3C14,PLK1,H2BC11,LMNB1,H4C2,ESPL1,HMMR,CENPA,H4C14,CCNB1
down	GO:0000278	mitotic cell cycle	GO:BP	1.01e-10	44	892	0.1577	0.0493	MYBL2,SAPCD2,HOXA13,E2F1,UBE2S,PKMYT1,UBE2C,NCAPG,MCM2,CDCA5,DTL,KIF2C,CDC45,CDC25C,MKI67,AURKB,CDKN2A,KIF4A,TK1,TPX2,BIRC5,CDT1,KIF18B,TUBB4A,ZWINT,IL1B,OVOL1,CCND3,CDC6,FOXM1,IQGAP3,INCENP,IL1A,PLK1,TACC3,FSD1,CDKN3,ESPL1,CENPA,PRC1,TICRR,PBK,CCNB1,CEP55
up	GO:0008009	chemokine activity	GO:MF	3.53e-10	11	50	0.0611	0.2200	CCL20,CXCL1,CCL7,CCL11,CCL2,CXCL8,CCL24,CCL18,CCL13,CXCL2,CCL15-CCL14
up	GO:0005615	extracellular space	GO:CC	5.32e-10	65	3315	0.3611	0.0196	CCL20,SLC6A14,IL36G,CXCL1,F3,PARD6B,CCL7,COMP,CCL11,CCL2,SCGB3A2,RETN,CXCL8,APOC1,DDAH1,IGLL5,ASPN,CSF2,CCL24,MMP7,EIF4E,CCL18,IL1RN,EDN1,FGFBP1,SCGB3A1,DNAJC3,PLA2G2A,CHIT1,CEACAM1,RAP2B,COL10A1,GKN2,DES,CCL13,HPSE2,IGF1,CXCL2,CCL15-CCL14,ANXA3,APOC2,SFRP2,CAPZA1,MASP1,EIF2S1,IL24,SSC5D,SPINK1,BROX,SOD2,ULBP3,PPP1CB,CST2,ERO1A,LILRB4,CSF3,FCER2,SEMA3A,STEAP4,COL1A2,CPM,CBLN4,COL3A1,CXCL17,CHP1
