gene_symbol	log2_fold_change	mean_test	mean_control	pvalue	pvalue_adjusted	direction	significant
KLHDC7B	6.2490	122.5385	2.2424	2.09e-36	4.84e-34	up	yes
FGF21	5.8024	82.8462	2.1818	2.09e-17	5.65e-16	up	yes
BIVM-ERCC5	5.1387	41.3846	1.9091	2.96e-04	9.17e-04	up	yes
ASDURF	4.8593	45.6923	2.8788	1.26e-04	4.21e-04	up	yes
C8ORF44-SGK3	4.4423	8.4615	0.5758	5.01e-08	3.12e-07	up	yes
TREH	4.3539	9.8462	0.6970	5.40e-15	1.03e-13	up	yes
GDF15	4.2685	112.1538	9.9394	1.31e-13	2.02e-12	up	yes
PLCZ1	4.2453	2.2308	0.0303	2.06e-03	5.27e-03	up	yes
HEPN1	4.2333	2.3077	0.0000	1.14e-03	3.10e-03	up	yes
PPM1E	4.1124	102.3077	10.0606	3.18e-09	2.41e-08	up	yes
FAM181A	4.1033	4.7692	0.3636	6.79e-08	4.15e-07	up	yes
RPL36A-HNRNPH2	4.1028	880.6154	69.6061	1.56e-26	1.47e-24	up	yes
SLC24A2	4.0731	97.0000	7.7273	3.43e-20	1.41e-18	up	yes
ORM1	3.9897	10.7692	1.0000	4.75e-04	1.40e-03	up	yes
APOC4	3.9393	3.3077	0.3030	9.71e-04	2.69e-03	up	yes
TMEM63C	3.9264	128.8462	11.7273	8.35e-19	2.80e-17	up	yes
RAB33A	3.8908	10.6154	0.9697	3.46e-12	4.36e-11	up	yes
IFNG	3.8585	3.5385	0.2424	1.14e-03	3.09e-03	up	yes
ERICH4	3.8097	8.6154	0.9091	4.99e-17	1.27e-15	up	yes
DIRAS1	3.7669	576.8462	57.6970	8.04e-15	1.50e-13	up	yes
NKX6-2	3.6709	14.4615	1.7879	1.52e-18	4.92e-17	up	yes
GP1BA	3.6476	40.7692	4.8182	2.03e-35	4.46e-33	up	yes
ZNF730	3.5709	2.1538	0.1515	1.43e-03	3.80e-03	up	yes
SMIM38	3.5085	17.4615	2.4242	2.14e-09	1.68e-08	up	yes
LAMP3	3.4658	50.5385	6.5758	1.11e-14	2.03e-13	up	yes
PRUNE2	3.4361	1281.1538	174.8485	4.19e-15	8.14e-14	up	yes
