direction	term_id	term_name	source	pvalue_adjusted	intersection_size	term_size	precision	recall	genes
up	GO:0002376	immune system process	GO:BP	4.24e-47	148	2871	0.4933	0.0515	FGA,CCL4,CCL4L2,RGS1,CXCL9,CCL3,HLA-DQB1,C1QC,PLVAP,FCGR1A,C1QA,FGB,LILRB2,APBB1IP,KLF2,PLA2G2A,IL1B,IGLL5,LY86,TYROBP,CH25H,FCGR3A,CX3CR1,HCLS1,AIF1,C3AR1,CCR2,FOS,CCL26,CALHM6,CD2,EGR1,CD74,SLPI,LILRB4,FPR1,PLD4,CXCR1,HLA-DRA,CXCL10,NKG7,CCR5,LAPTM5,CD3E,SELPLG,CD86,VSIG4,PADI2,HCST,TREM2,LILRA1,FCGR2A,CCL3L1,MNDA,HLA-DRB5,FCER1A,FCER1G,ZFP36,CD33,CD69,FFAR3,SLC4A1,IFITM2,PTPRC,NLRP4,RASAL3,RNASE6,CD300C,ITGB2,SPI1,HLA-DOA,HLA-DRB1,CD1C,SCIN,CCL8,GZMA,CCR6,LY96,FYB1,SELE,C3,HHEX,HLA-DMB,CD48,GPR15,OSM,SELL,MOG,HCK,CD14,AMBP,CD4,APOA2,CCL14,IFNA8,LCP2,SLC15A3,RNASET2,CLEC10A,ADGRE1,WDFY4,AZGP1,SASH3,C5AR1,BPI,CD300A,RUNX3,DUSP1,TAL1,P2RY12,IFI30,SAMSN1,CYBB,IL13RA2,IFNA13,USP17L2,NEURL3,PTAFR,PGLYRP2,PPBP,LGALS9,CD7,LYL1,CXCL3,S1PR4,CSF1R,CXCL8,IFI6,SELP,TNFAIP8L2,JUNB,PYCARD,ADGRE5,DOCK2,IL15RA,SIRPG,STING1,TASL,PIK3R5,LILRA4,GZMB,VAV1,IKZF1,GNLY,DEFB134,IDO1,TLR10,HLA-F
up	GO:0006955	immune response	GO:BP	6.77e-41	120	2070	0.4000	0.0580	FGA,CCL4,CCL4L2,RGS1,CXCL9,CCL3,HLA-DQB1,C1QC,FCGR1A,C1QA,FGB,LILRB2,APBB1IP,IL1B,IGLL5,LY86,TYROBP,CH25H,FCGR3A,CX3CR1,AIF1,C3AR1,CCR2,CCL26,CALHM6,CD2,CD74,SLPI,LILRB4,FPR1,PLD4,CXCR1,HLA-DRA,CXCL10,NKG7,CCR5,LAPTM5,CD3E,CD86,VSIG4,HCST,TREM2,LILRA1,FCGR2A,CCL3L1,MNDA,HLA-DRB5,FCER1A,FCER1G,CD33,CD69,FFAR3,IFITM2,PTPRC,NLRP4,RNASE6,ITGB2,SPI1,HLA-DOA,HLA-DRB1,CD1C,CCL8,GZMA,CCR6,LY96,FYB1,C3,HLA-DMB,GPR15,OSM,MOG,HCK,CD14,AMBP,CD4,APOA2,CCL14,IFNA8,LCP2,SLC15A3,RNASET2,CLEC10A,ADGRE1,AZGP1,SASH3,C5AR1,BPI,CD300A,SAMSN1,CYBB,IL13RA2,IFNA13,USP17L2,NEURL3,PTAFR,PGLYRP2,PPBP,LGALS9,CD7,CXCL3,S1PR4,CSF1R,CXCL8,IFI6,TNFAIP8L2,JUNB,PYCARD,ADGRE5,DOCK2,STING1,TASL,PIK3R5,LILRA4,GZMB,VAV1,GNLY,DEFB134,IDO1,TLR10,HLA-F
up	GO:0006952	defense response	GO:BP	4.86e-36	108	1853	0.3600	0.0583	FGA,AHSG,CCL4,CCL4L2,CXCL9,CCL3,C1QC,FCGR1A,C1QA,FGB,LILRB2,ADORA3,PLA2G2A,IL1B,LY86,ABI3,TYROBP,CH25H,FCGR3A,CX3CR1,AIF1,C3AR1,CCR2,FOS,CCL26,CALHM6,CD2,CD74,SLPI,LILRB4,TMIGD3,FPR1,PLD4,CXCL10,NKG7,CCR5,LAPTM5,VSIG4,HCST,TREM2,LILRA1,FCGR2A,CCL3L1,MNDA,FCER1A,FCER1G,ZFP36,FFAR3,IFITM2,PTPRC,NLRP4,RNASE6,CD300C,ITGB2,SPI1,HLA-DRB1,CCL8,GZMA,CCR6,LY96,SELE,C3,SERPINA1,PENK,CD48,OSM,HCK,CD14,CD4,CCL14,IFNA8,SLC15A3,RNASET2,CLEC10A,C5AR1,BPI,CD300A,CYBB,IFNA13,USP17L2,FOLR2,NEURL3,PTAFR,PGLYRP2,PPBP,LGALS9,CXCL3,CSF1R,CXCL8,IFI6,SELP,TNFAIP8L2,PYCARD,ADGRE5,STING1,TASL,LILRA4,GZMB,VAV1,GNLY,DEFB134,CD163,IDO1,AOAH,TLR10,HLA-F,RNASE1,AQP1
up	GO:0002682	regulation of immune system process	GO:BP	7.71e-32	95	1581	0.3167	0.0601	CCL4,CCL3,C1QC,PLVAP,FCGR1A,C1QA,LILRB2,PLA2G2A,IL1B,TYROBP,FCGR3A,CX3CR1,HCLS1,AIF1,C3AR1,CCR2,FOS,CALHM6,CD2,CD74,LILRB4,FPR1,HLA-DRA,CXCL10,LAPTM5,CD3E,CD86,VSIG4,PADI2,HCST,TREM2,LILRA1,FCGR2A,MNDA,HLA-DRB5,FCER1A,FCER1G,ZFP36,CD33,CD69,FFAR3,PTPRC,NLRP4,RASAL3,ITGB2,SPI1,HLA-DOA,HLA-DRB1,CD1C,SCIN,CCL8,CCR6,LY96,FYB1,SELE,C3,HLA-DMB,MOG,HCK,CD14,AMBP,CD4,APOA2,LCP2,SLC15A3,SASH3,C5AR1,BPI,CD300A,RUNX3,DUSP1,TAL1,P2RY12,SAMSN1,IL13RA2,USP17L2,PTAFR,PGLYRP2,LGALS9,CD7,CSF1R,CXCL8,SELP,TNFAIP8L2,JUNB,PYCARD,IL15RA,SIRPG,STING1,TASL,LILRA4,VAV1,IDO1,TLR10,HLA-F
up	GO:0001775	cell activation	GO:BP	2.86e-28	77	1132	0.2567	0.0680	FGA,FGG,CCL3,C1QA,FGB,LILRB2,APBB1IP,PLA2G2A,IL1B,TYROBP,FCGR3A,CX3CR1,AIF1,CCR2,CD2,EGR1,CD74,LILRB4,HLA-DRA,CXCL10,NKG7,LAPTM5,CD3E,SELPLG,CD86,VSIG4,TREM2,MNDA,HLA-DRB5,FCER1A,FCER1G,CD33,CD69,PTPRC,RASAL3,ITGB2,SPI1,HLA-DOA,HLA-DRB1,CD1C,CCR6,C3,HHEX,HLA-DMB,CD48,CD4,IFNA8,LCP2,WDFY4,SASH3,C5AR1,BPI,CD300A,RUNX3,P2RY12,SAMSN1,ENTPD2,IL13RA2,IFNA13,PTAFR,PGLYRP2,LGALS9,CD7,LYL1,CXCL8,PLEK,SELP,TNFAIP8L2,JUNB,PYCARD,DOCK2,IL15RA,SIRPG,VAV1,IKZF1,IDO1,HLA-F
up	GO:0009607	response to biotic stimulus	GO:BP	1.12e-27	91	1634	0.3033	0.0557	FGA,CCL4,CCL4L2,RGS1,CXCL9,CCL3,C1QC,FCGR1A,C1QA,FGB,LILRB2,PLA2G2A,IL1B,LY86,ABI3,TYROBP,CH25H,FCGR3A,CX3CR1,AIF1,FOS,CCL26,CALHM6,CD2,CD74,SLPI,PLD4,CXCL10,NKG7,CCR5,LAPTM5,CD86,VSIG4,HCST,TREM2,CCL3L1,MNDA,FCER1G,ZFP36,IFITM2,PTPRC,NLRP4,RNASE6,SPI1,HLA-DRB1,CCL8,GZMA,LY96,SELE,C3,PENK,HCK,CD14,FKBP5,CD4,CCL14,IFNA8,SLC15A3,RNASET2,CLEC10A,WDFY4,C5AR1,BPI,CD300A,CYBB,IFNA13,USP17L2,NEURL3,PTAFR,PGLYRP2,PPBP,LGALS9,CXCL3,CSF1R,CXCL8,IFI6,SELP,TNFAIP8L2,PYCARD,STING1,TASL,LILRA4,GZMB,VAV1,GNLY,DEFB134,IDO1,TLR10,HLA-F,RNASE1,AQP1
up	GO:0006954	inflammatory response	GO:BP	2.02e-27	67	862	0.2233	0.0777	AHSG,CCL4,CCL4L2,CXCL9,CCL3,FCGR1A,C1QA,ADORA3,PLA2G2A,IL1B,LY86,TYROBP,FCGR3A,CX3CR1,AIF1,C3AR1,CCR2,FOS,CCL26,LILRB4,TMIGD3,FPR1,PLD4,CXCL10,NKG7,CCR5,TREM2,FCGR2A,CCL3L1,FCER1A,ZFP36,FFAR3,PTPRC,NLRP4,ITGB2,HLA-DRB1,CCL8,GZMA,CCR6,LY96,SELE,C3,SERPINA1,OSM,HCK,CD14,CCL14,C5AR1,CYBB,FOLR2,PTAFR,PGLYRP2,PPBP,LGALS9,CXCL3,CSF1R,CXCL8,SELP,TNFAIP8L2,PYCARD,ADGRE5,STING1,GZMB,CD163,IDO1,AOAH,TLR10
up	GO:0044419	biological process involved in interspecies interaction between organisms	GO:BP	2.14e-27	94	1759	0.3133	0.0534	FGA,CCL4,CCL4L2,RGS1,CXCL9,CCL3,C1QC,FCGR1A,C1QA,FGB,LILRB2,PLA2G2A,IL1B,LY86,TYROBP,CH25H,FCGR3A,CX3CR1,AIF1,FOS,CCL26,CALHM6,CD2,CD74,SLPI,PLD4,CXCL10,NKG7,CCR5,SELPLG,CD86,VSIG4,HCST,GZMH,TREM2,CCL3L1,MNDA,FCER1G,ZFP36,IFITM2,PTPRC,NLRP4,RNASE6,SPI1,HLA-DRB1,CCL8,GZMA,LY96,SELE,C3,PENK,GPR15,MOG,HCK,CD14,FKBP5,CD4,CCL14,IFNA8,SLC15A3,RNASET2,CLEC10A,AVP,WDFY4,C5AR1,BPI,CD300A,CYBB,IFNA13,USP17L2,NEURL3,PTAFR,PGLYRP2,PPBP,LGALS9,CXCL3,CSF1R,CXCL8,IFI6,SELP,TNFAIP8L2,PYCARD,STING1,TASL,LILRA4,GZMB,VAV1,GNLY,DEFB134,IDO1,TLR10,HLA-F,RNASE1,AQP1
up	GO:0009605	response to external stimulus	GO:BP	4.50e-27	110	2415	0.3667	0.0455	FGA,FGG,AHSG,CCL4,CCL4L2,RGS1,CXCL9,CCL3,C1QC,FCGR1A,C1QA,FGB,LILRB2,PLA2G2A,IL1B,LY86,TYROBP,CH25H,FCGR3A,CX3CR1,AIF1,C3AR1,CCR2,FOS,CCL26,CALHM6,CD2,CD74,SLPI,FPR1,PLD4,CXCR1,CXCL10,NKG7,CCR5,CD86,VSIG4,PADI2,HCST,TREM2,CCL3L1,MNDA,FCER1G,ZFP36,FFAR3,IFITM2,PTPRC,NLRP4,RNASE6,ITGB2,SPI1,HLA-DRB1,CCL8,GZMA,FOSB,CCR6,LY96,SELE,C3,PENK,GPR15,OSM,HCK,CD14,FKBP5,CD4,CCL14,IFNA8,SLC15A3,RNASET2,CLEC10A,WDFY4,C5AR1,BPI,CD300A,DUSP1,P2RY12,BIN2,CYBB,IFNA13,USP17L2,NEURL3,PTAFR,PGLYRP2,PPBP,LGALS9,ENG,CXCL3,CSF1R,CXCL8,IFI6,SELP,TNFAIP8L2,PYCARD,DOCK2,STING1,TASL,LILRA4,GZMB,VAV1,GNLY,LRTM1,DEFB134,IDO1,AOAH,TLR10,HLA-F,KCNJ2,RNASE1,AQP1
up	GO:0051707	response to other organism	GO:BP	4.66e-27	89	1592	0.2967	0.0559	FGA,CCL4,CCL4L2,RGS1,CXCL9,CCL3,C1QC,FCGR1A,C1QA,FGB,LILRB2,PLA2G2A,IL1B,LY86,TYROBP,CH25H,FCGR3A,CX3CR1,AIF1,FOS,CCL26,CALHM6,CD2,CD74,SLPI,PLD4,CXCL10,NKG7,CCR5,CD86,VSIG4,HCST,TREM2,CCL3L1,MNDA,FCER1G,ZFP36,IFITM2,PTPRC,NLRP4,RNASE6,SPI1,HLA-DRB1,CCL8,GZMA,LY96,SELE,C3,PENK,HCK,CD14,FKBP5,CD4,CCL14,IFNA8,SLC15A3,RNASET2,CLEC10A,WDFY4,C5AR1,BPI,CD300A,CYBB,IFNA13,USP17L2,NEURL3,PTAFR,PGLYRP2,PPBP,LGALS9,CXCL3,CSF1R,CXCL8,IFI6,SELP,TNFAIP8L2,PYCARD,STING1,TASL,LILRA4,GZMB,VAV1,GNLY,DEFB134,IDO1,TLR10,HLA-F,RNASE1,AQP1
