direction	term_id	term_name	source	pvalue_adjusted	intersection_size	term_size	precision	recall	genes
up	GO:0071944	cell periphery	GO:CC	4.53e-46	373	6347	0.5518	0.0588	TRARG1,PLIN4,ADH1B,ADIPOQ,C14ORF180,CTSG,TPSAB1,C6,HLA-DOA,ADORA3,CPA3,SPRR1B,CILP,SIGLEC1,RHEX,LPL,CHAD,ADH1C,SLC7A10,LILRB2,SEZ6,F13A1,SPRR3,ADH7,CNTFR,CLEC4G,CMA1,SNORC,KCNIP2,MAS1L,STAB1,PLP1,TPSB2,LIPE,MRAP,NPY1R,DPP6,CSF1R,CD36,VIPR1,AZGP1,LILRA1,FREM1,MMP27,SPRR1A,AQP7,GRIK3,MYO7A,HMCN2,CALCR,CX3CR1,LINGO4,KLK6,TRDN,KERA,PRKAR2B,EMILIN3,SIRPB2,KLHL41,C4B_2,AGTR2,TRPM2,MS4A14,LEFTY2,FOLR2,P2RY14,MRC1,SLC18A2,SFRP2,PCDH8,PTGER3,CBLN4,TMEM150B,CYTH4,SIGLEC9,VSIG10L2,SLCO2B1,FCER2,TNF,PIK3R6,ADH1A,C8B,P2RY12,TREM2,RYR1,EGFL6,EMID1,PXDNL,TMIGD3,C1QC,SORCS3,MRGPRX2,WNK2,GABRA3,SCEL,IGSF21,NPY5R,ACVR1C,LPAR5,DRD5,COL2A1,HPSE2,ITGAM,CACNG1,GPR34,CCR2,CNTN5,ST14,FGL1,FCRL4,EPB42,LYVE1,KCNA6,DES,NALF2,ADAMTSL2,SSTR3,NCF4,KRT2,ECRG4,AOC1,SIGLEC7,CYP4F12,FGFBP1,FCGR2B,SYK,P2RY13,TREML1,DSCAML1,MS4A2,CD163L1,ASPN,SLC38A3,IZUMO1R,GPA33,CD209,OR5C1,HLA-DPB1,SEMA3D,P2RX1,LILRA6,PTPN6,SLC6A5,AOC3,HJV,ADAP2,PIK3R5,MS4A6E,RASL10A,TRPC3,LHCGR,ITLN1,C7,THBS4,COCH,GFRA3,SLC17A8,HLA-DOB,FGD2,CPAMD8,IL10RA,SORBS1,MSR1,SCN4A,CNTNAP4,C4BPA,PSG6,CA4,NFAM1,MYMX,CACNA1H,NOXA1,VANGL2,OLFM4,SLITRK6,WNT11,CDHR1,GRID2,SERPINF2,SCN4B,GABRQ,SBSPON,AQP4,ATP1A2,ALDH3A1,KCNQ1,EPHB6,SERPINA1,CALB1,MAL2,CCR1,MS4A7,OPTC,KCNK13,GPR142,GJD2,KLB,COL10A1,PLA2G5,UNC13C,KCNJ5,PIRT,XPNPEP2,GPR87,OR51Q1,CD79A,TMEM174,TLR7,MS4A6A,CD200R1,HTR3E,DPEP3,NCF1,CD4,SLC40A1,GPC3,HCAR2,OLFM2,MYOC,GPBAR1,SYT13,CD244,DIO3,TRIL,TSPAN8,PKD2L1,ADCY5,PSG8,CARD11,MUC5AC,ABCC6,OR52I2,CD300LF,UNC5D,RIMS4,CD19,HPGD,OR9Q1,NLRC4,SCN9A,PIK3AP1,GRAP,DMTN,ADGRG5,TRPC6,EBI3,CD84,FBP2,CBLN1,MMEL1,ABCA6,OXER1,OR2A4,RIMBP2,NGFR,SHISA6,F10,TENM1,CNTN1,KCNK17,APOE,NCAM1,CORO1A,CD177,LY6D,ATP13A5,FPR3,ADAM22,NCKAP1L,DCC,CYBB,CD14,TSPEAR,CDH23,MYO1A,SLC46A2,ELANE,OR1L6,CXCR1,COL6A5,CSF3R,PCLO,CHL1,UMODL1,VNN2,PTPRCAP,GRIA2,BIN2,CD33,CD300A,DLGAP2,NPR1,NKAIN4,CLCA1,C4A,NRROS,ADCYAP1R1,ADGRL3,NOX4,COL9A1,OGN,CD163,RGS5,COL9A3,OR52N4,TRPV6,TREML2,PHOSPHO1,LAPTM5,ANXA8L1,SCNN1B,CDH12,TAS2R13,RAB25,ANGPTL6,PTPRD,GLIPR1L1,LILRB5,FLT3,FCGR3B,TSPAN33,PRAME,CYP4A11,GNA15,C1ORF116,PTPN5,CEACAM3,SH2D3C,MERTK,GFRA2,RYR2,VWC2L,CACNG4,TYROBP,MYOT,SERPINF1,PARM1,EDA,PPFIA2,EVPL,MYO1F,SUCNR1,RASL12,SLC6A2,CLEC1B,OR1K1,NKD2,RASAL3,TAS2R10,PSG3,KCNA2,PARVG,OR2A14,PLPPR4,SLC39A12,HTR1F,ADRA2B,ARHGAP45,HCRTR2,PTPRZ1,SYT17,ARHGAP25,KCNH7,PDCD1,C3AR1,HRH2,ANO1,ACKR4,GPR88,UPK3B,MMP23B,WNT6,MS4A4A
up	GO:0032501	multicellular organismal process	GO:BP	2.12e-36	384	7322	0.6000	0.0524	MYH1,KRT6A,KLK5,ADIPOQ,CTSG,C6,HLA-DOA,XIRP2,ADORA3,CPA3,MYH2,SPRR1B,TNMD,ACTA1,SIGLEC1,RHEX,CEBPA,LPL,HBB,CHAD,PSG2,LILRB2,SEZ6,F13A1,SPRR3,KRT5,CNTFR,CLEC4G,PPDPFL,KLK3,CIDEA,CMA1,SNORC,KCNIP2,STAB1,LGALS12,PLP1,KRT6C,NPY1R,CSF1R,UGT1A10,ABCD2,CD36,CLEC3A,AZGP1,CNMD,SCGB1A1,FEZF2,VSIG4,FRZB,IBSP,FREM1,LEP,SPRR1A,PPP1R1B,PLCB2,FOXA2,MYO7A,HMCN2,CALCR,CX3CR1,DPPA4,LINGO4,KLK6,TRDN,KERA,PRKAR2B,MYH8,NELL1,KLHL41,ADCYAP1,FGF20,AGTR2,TRPM2,LEFTY2,FOXA3,SLC18A2,SLN,SFRP2,PCDH8,PTGER3,CBLN4,SLCO2B1,FCER2,TNF,PIK3R6,P2RY12,TREM2,RYR1,DTX1,SASH3,TMIGD3,C1QC,SORCS3,MRGPRX2,TBXT,ALOX5,GABRA3,CSRP3,BMP5,SCEL,IGSF21,NPY5R,ACVR1C,LPAR5,DRD5,JCHAIN,COL2A1,ITGAM,CACNG1,ADAMTS19,TNFAIP8L2,CCR2,TNNT3,CNTN5,ST14,CCL3,FGL1,UCN3,EPB42,KRT6B,MLXIPL,DES,C1QTNF4,WDFY4,ADAMTSL2,SSTR3,KRT2,ECRG4,KLK8,ARHGAP4,CYP4F12,FGFBP1,FCGR2B,SYK,MSTN,TREML1,DSCAML1,OSTN,ALDH1A1,ASPN,SLC38A3,CD209,CCL21,FMO1,OR5C1,HLA-DPB1,SEMA3D,LMX1A,P2RX1,PTPN6,HJV,ADAP2,TRPC3,LHCGR,OVOL1,EDN3,CRISPLD1,THBS4,TRIM63,TNNI2,COCH,GFRA3,KAT7,SLC17A8,HLA-DOB,CPAMD8,FABP4,IL10RA,SP8,FOXS1,MSR1,SCN4A,CNTNAP4,RORC,PSG6,NFAM1,CACNA1H,VANGL2,SLITRK6,WNT11,MYF6,CDHR1,GRID2,POU3F3,SERPINF2,MAP2K6,SCN4B,FMO2,UTS2,AQP4,PCARE,ATP1A2,IFNA5,KCNQ1,EPHB6,GTF2A1L,SERPINA1,IRF5,ASB2,CALB1,MAL2,CCR1,HOXB6,OPTC,IFNA13,GJD2,PLCZ1,COL10A1,PLA2G5,CPLX2,KCNJ5,PIRT,OR51Q1,CD79A,TLR7,CD200R1,HTR3E,YBX2,MYL1,SPI1,SRY,TAC1,NCF1,SMPX,MORC1,CD4,SLC40A1,GPC3,HCAR2,ANKFN1,MYOC,AMY2A,ZNF536,GATM,MGAT3,NNAT,LRTM1,CRYBB1,HPGDS,CD244,DIO3,TRIL,CERS3,TSPAN8,PKD2L1,ADCY5,MBOAT1,ZIC5,CARD11,ABCC6,MZB1,OR52I2,CD300LF,UNC5D,CD19,HPGD,OR9Q1,NLRC4,SCN9A,GRAP,DMTN,EBI3,CD84,RLBP1,CBLN1,ACP5,KBTBD13,OR2A4,NGFR,ALX4,TTN,F10,TENM1,CNTN1,BPI,LCN2,APOE,MYO3A,NCAM1,CORO1A,TDRD6,CD177,LY6D,ADAM22,NCKAP1L,NR0B1,DCC,CYBB,INSM1,CD14,TSPEAR,RSPO4,CDH23,MYO1A,APOA2,SLC46A2,ELANE,OR1L6,HSD11B2,CSF3R,PCLO,CHL1,IGSF3,UMODL1,KRT25,CD33,CD300A,NPR1,TBXAS1,PDGFD,SELENOP,NRROS,ADCYAP1R1,ADGRL3,NOX4,OGN,OR52N4,TRPV6,TREML2,PHOSPHO1,LAPTM5,SCNN1B,PCSK1N,TAS2R13,RAB25,PSG11,ANGPTL6,PTPRD,HORMAD1,FLT3,CES3,SOX21,CYP4A11,TPPP,RTN1,CCL19,NEB,MERTK,GFRA2,RYR2,VWC2L,CACNG4,PLA2G4B,TYROBP,MYOT,SERPINF1,SOX8,EDA,VAX1,PPFIA2,LRAT,EVPL,SUCNR1,HOXB5,SLC6A2,OR1K1,RASAL3,TAS2R10,PSG3,KCNA2,OR2A14,PLPPR4,HSD17B3,SLC39A12,ATP2A1,ADRA2B,S100B,DMRT2,HCRTR2,PTPRZ1,SYT17,KRT12,CHIT1,PDCD1,GATA1,C3AR1,POU6F2,HRH2,ANO1,GPR88,FOXE1,WDR74,WNT6
down	GO:0030527	structural constituent of chromatin	GO:MF	1.27e-34	26	101	0.2407	0.2574	H4C11,H2AC16,H3C8,H3C3,H3C2,H2BC17,H2AC14,H2BC14,H1-5,H3C12,H2BC13,H2AC17,H3C11,H2BC10,H2AC13,H2AC12,H2AC7,H2BC3,H4C13,H2BC8,H3C4,H1-1,H3C10,H2BC11,H2BC9,H2BC6
up	GO:0005886	plasma membrane	GO:CC	5.13e-33	328	5866	0.4852	0.0559	TRARG1,PLIN4,ADH1B,C14ORF180,CTSG,C6,HLA-DOA,ADORA3,SPRR1B,SIGLEC1,RHEX,LPL,ADH1C,SLC7A10,LILRB2,SEZ6,SPRR3,ADH7,CNTFR,CLEC4G,KCNIP2,MAS1L,STAB1,PLP1,LIPE,MRAP,NPY1R,DPP6,CSF1R,CD36,VIPR1,AZGP1,LILRA1,SPRR1A,AQP7,GRIK3,MYO7A,HMCN2,CALCR,CX3CR1,KLK6,TRDN,PRKAR2B,SIRPB2,KLHL41,C4B_2,AGTR2,TRPM2,MS4A14,FOLR2,P2RY14,MRC1,SLC18A2,PCDH8,PTGER3,TMEM150B,CYTH4,SIGLEC9,VSIG10L2,SLCO2B1,FCER2,TNF,PIK3R6,ADH1A,C8B,P2RY12,TREM2,RYR1,PXDNL,TMIGD3,C1QC,SORCS3,MRGPRX2,WNK2,GABRA3,SCEL,IGSF21,NPY5R,ACVR1C,LPAR5,DRD5,HPSE2,ITGAM,CACNG1,GPR34,CCR2,CNTN5,ST14,FCRL4,EPB42,LYVE1,KCNA6,DES,NALF2,SSTR3,NCF4,KRT2,ECRG4,AOC1,SIGLEC7,CYP4F12,FGFBP1,FCGR2B,SYK,P2RY13,TREML1,DSCAML1,MS4A2,CD163L1,SLC38A3,IZUMO1R,GPA33,CD209,OR5C1,HLA-DPB1,SEMA3D,P2RX1,LILRA6,PTPN6,SLC6A5,AOC3,HJV,ADAP2,PIK3R5,MS4A6E,RASL10A,TRPC3,LHCGR,ITLN1,C7,GFRA3,SLC17A8,HLA-DOB,FGD2,CPAMD8,IL10RA,SORBS1,MSR1,SCN4A,CNTNAP4,C4BPA,PSG6,CA4,NFAM1,MYMX,CACNA1H,NOXA1,VANGL2,OLFM4,SLITRK6,CDHR1,GRID2,SCN4B,GABRQ,AQP4,ATP1A2,ALDH3A1,KCNQ1,EPHB6,MAL2,CCR1,MS4A7,KCNK13,GPR142,GJD2,KLB,PLA2G5,UNC13C,KCNJ5,PIRT,XPNPEP2,GPR87,OR51Q1,CD79A,TMEM174,TLR7,MS4A6A,CD200R1,HTR3E,DPEP3,NCF1,CD4,SLC40A1,GPC3,HCAR2,OLFM2,GPBAR1,SYT13,CD244,DIO3,TSPAN8,PKD2L1,ADCY5,PSG8,CARD11,MUC5AC,ABCC6,OR52I2,CD300LF,UNC5D,RIMS4,CD19,HPGD,OR9Q1,NLRC4,SCN9A,PIK3AP1,GRAP,DMTN,ADGRG5,TRPC6,EBI3,CD84,FBP2,CBLN1,MMEL1,ABCA6,OXER1,OR2A4,RIMBP2,NGFR,SHISA6,F10,TENM1,CNTN1,KCNK17,APOE,NCAM1,CORO1A,CD177,LY6D,ATP13A5,FPR3,ADAM22,NCKAP1L,DCC,CYBB,CD14,TSPEAR,CDH23,MYO1A,SLC46A2,OR1L6,CXCR1,CSF3R,CHL1,UMODL1,VNN2,PTPRCAP,GRIA2,BIN2,CD33,CD300A,DLGAP2,NPR1,NKAIN4,CLCA1,C4A,NRROS,ADCYAP1R1,ADGRL3,NOX4,CD163,RGS5,OR52N4,TRPV6,TREML2,LAPTM5,ANXA8L1,SCNN1B,CDH12,TAS2R13,RAB25,PTPRD,GLIPR1L1,LILRB5,FLT3,FCGR3B,TSPAN33,PRAME,CYP4A11,GNA15,C1ORF116,PTPN5,CEACAM3,SH2D3C,MERTK,GFRA2,RYR2,VWC2L,CACNG4,TYROBP,MYOT,PARM1,EDA,PPFIA2,EVPL,MYO1F,SUCNR1,RASL12,SLC6A2,CLEC1B,OR1K1,NKD2,TAS2R10,PSG3,KCNA2,PARVG,OR2A14,PLPPR4,SLC39A12,HTR1F,ADRA2B,ARHGAP45,HCRTR2,PTPRZ1,SYT17,ARHGAP25,KCNH7,PDCD1,C3AR1,HRH2,ANO1,ACKR4,GPR88,UPK3B,WNT6,MS4A4A
down	GO:0000786	nucleosome	GO:CC	2.65e-32	26	137	0.2453	0.1898	H4C11,H2AC16,H3C8,H3C3,H3C2,H2BC17,H2AC14,H2BC14,H1-5,H3C12,H2BC13,H2AC17,H3C11,H2BC10,H2AC13,H2AC12,H2AC7,H2BC3,H4C13,H2BC8,H3C4,H1-1,H3C10,H2BC11,H2BC9,H2BC6
down	REAC:R-HSA-3214815	HDACs deacetylate histones	REAC	1.61e-27	24	94	0.2637	0.2553	H4C11,H2AC16,H3C8,H3C3,H3C2,H2BC17,H2AC14,H2BC14,H3C12,H2BC13,H2AC17,H3C11,H2BC10,H2AC13,H2AC12,H2AC7,H2BC3,H4C13,H2BC8,H3C4,H3C10,H2BC11,H2BC9,H2BC6
up	GO:0005576	extracellular region	GO:CC	3.79e-27	254	4258	0.3757	0.0597	KRT6A,KLK5,GPD1,ADIPOQ,CTSG,TPSAB1,C6,TPSD1,FAM180B,CPA3,CILP,ACTA1,SIGLEC1,LPL,HBB,HK3,CHAD,PSG2,DCD,CALML5,LILRB2,F13A1,SPRR3,KRT5,CNTFR,KRT13,KLK3,CMA1,SNORC,CALML3,TPSB2,KRT6C,CD36,CLEC3A,AZGP1,CNMD,HBD,SCGB1A1,FRZB,IBSP,FREM1,MMP27,LEP,HMCN2,LINGO4,KLK6,KERA,PRKAR2B,MPEG1,EMILIN3,NELL1,ADCYAP1,SERPINB13,FGF20,C4B_2,LEFTY2,FOLR2,SFRP2,NXPE4,CBLN4,FCER2,TNF,C8B,TREM2,RYR1,EGFL6,EMID1,PXDNL,CPXM1,C1QC,ALOX5,BMP5,SCEL,SCGB2A2,BPIFB4,JCHAIN,COL2A1,HPSE2,ITGAM,ADAMTS19,CNTN5,ST14,CCL3,FGL1,UCN3,KRT6B,LYVE1,SERPINI2,DES,C1QTNF4,ADAMTSL2,LVRN,KRT2,ECRG4,AOC1,TUBB8,CILP2,RNASE13,KLK8,HP,CXCL14,FGFBP1,MSTN,DSCAML1,CD163L1,OSTN,ALDH1A1,ASPN,IZUMO1R,GPA33,CD209,CCL21,SEMA3D,DPYS,TSHB,PTPN6,HJV,PGLYRP4,LHCGR,EDN3,ITLN1,CRISPLD1,C7,THBS4,COCH,CPAMD8,FABP4,CCL13,MSR1,C4BPA,PSG6,CA4,OLFM4,WNT11,VWDE,SERPINF2,PRSS36,SBSPON,UTS2,AQP4,ATP1A2,IFNA5,ALDH3A1,SERPINA1,CALB1,MAL2,OPTC,IFNA13,ITIH6,COL10A1,PLA2G5,XPNPEP2,CD200R1,TAC1,OLFM2,MYOC,AMY2A,GATM,ALB,PSORS1C2,TRIL,TSPAN8,PSG8,CARD11,MUC5AC,ABCC6,MZB1,PGAM4,CD19,HPGD,AMY2B,EBI3,FBP2,CBLN1,MMEL1,NGFR,TTN,F10,TENM1,CNTN1,BPI,LCN2,APOE,NCAM1,CORO1A,CD177,LY6D,CCER2,NCKAP1L,CD14,LCN10,TSPEAR,SLC37A2,KRT24,RSPO4,APOA2,ELANE,COL6A5,CSF3R,PCLO,CHL1,UMODL1,BBOX1,VNN2,KRT25,BIN2,CD300A,PDGFD,SELENOP,CLCA1,C4A,NRROS,COL9A1,OGN,CD163,COL9A3,PHOSPHO1,SCNN1B,PCSK1N,C2,RAB25,PSG11,ANGPTL6,PTPRD,GLIPR1L1,FCGR3B,CES3,C1ORF116,SPINT4,CCL19,EML5,NEB,MERTK,VWC2L,AKR1C4,PLA2G4B,SERPINF1,EDA,PPFIA2,EVPL,SUCNR1,RASAL3,PSG3,SLC39A12,S100B,ARHGAP45,PTPRZ1,KRT12,CHIT1,ANO1,MSMP,ITIH3,MMP23B,WNT6
down	GO:0032993	protein-DNA complex	GO:CC	1.53e-25	26	242	0.2453	0.1074	H4C11,H2AC16,H3C8,H3C3,H3C2,H2BC17,H2AC14,H2BC14,H1-5,H3C12,H2BC13,H2AC17,H3C11,H2BC10,H2AC13,H2AC12,H2AC7,H2BC3,H4C13,H2BC8,H3C4,H1-1,H3C10,H2BC11,H2BC9,H2BC6
down	REAC:R-HSA-9821002	Chromatin modifications during the maternal to zygotic transition (MZT)	REAC	1.92e-25	21	70	0.2308	0.3000	H4C11,H3C8,H3C3,H3C2,H2BC17,H2AC14,H2BC14,H3C12,H2BC13,H3C11,H2BC10,H2AC7,H2BC3,H4C13,H2BC8,H3C4,H3C10,H2BC11,H2BC9,H2BC6,KDM6B
down	KEGG:05322	Systemic lupus erythematosus	KEGG	2.14e-25	25	132	0.3289	0.1894	H4C11,H2AC16,H3C8,H3C3,H3C2,H2BC17,H2AC14,H2BC14,H3C12,H2BC13,H2AC17,IFNG,H3C11,H2BC10,H2AC13,H2AC12,H2AC7,H2BC3,H4C13,H2BC8,H3C4,H3C10,H2BC11,H2BC9,H2BC6
