gene_symbol	log2_fold_change	mean_test	mean_control	pvalue	pvalue_adjusted	direction	significant
HLA-DRB3	9.7105	203.6835	31.0000	6.97e-17	9.41e-15	up	yes
TRARG1	9.3421	79.6835	1.1228	1.29e-23	8.21e-21	up	yes
CIDEC	8.6018	203.3608	5.0526	2.48e-38	6.79e-35	up	yes
MYH1	7.4476	267.7405	2.0175	6.06e-19	1.29e-16	up	yes
PLIN1	7.1864	1785.9684	52.1053	1.76e-61	1.69e-57	up	yes
PLIN4	6.8398	1711.7468	73.0702	3.11e-54	1.99e-50	up	yes
ADH1B	6.8025	3539.1709	165.1930	1.89e-78	3.62e-74	up	yes
KRT6A	6.6576	39.4494	0.7544	1.08e-12	5.32e-11	up	yes
THRSP	6.5129	82.6013	5.1228	2.27e-34	3.62e-31	up	yes
KLK5	6.4898	11.7468	0.3333	7.23e-12	2.86e-10	up	yes
GPD1	6.3789	703.3544	59.3333	4.47e-45	1.72e-41	up	yes
ADIPOQ	6.1671	999.5127	109.5088	1.49e-34	2.60e-31	up	yes
C14ORF180	6.1005	90.4241	4.2105	1.37e-12	6.48e-11	up	yes
CTSG	6.0929	52.0506	5.4035	2.91e-13	1.68e-11	up	yes
HEPN1	5.8814	3.2152	0.0526	3.75e-06	3.35e-05	up	yes
TPSAB1	5.8749	237.8544	64.8596	4.59e-12	1.91e-10	up	yes
TMEM132C	5.8192	92.4620	8.8596	1.23e-14	1.00e-12	up	yes
C6	5.8192	184.8101	14.5263	5.28e-17	7.23e-15	up	yes
HLA-DOA	5.6127	38.8671	3.2105	7.47e-22	3.18e-19	up	yes
TPSD1	5.5222	16.6076	1.9474	8.95e-11	2.81e-09	up	yes
FAM180B	5.5205	76.9114	49.1754	2.43e-14	1.89e-12	up	yes
XIRP2	5.4962	46.1646	2.0877	2.99e-09	6.32e-08	up	yes
ADORA3	5.3033	111.6709	42.8947	2.28e-19	5.27e-17	up	yes
GLYAT	5.2936	63.0190	3.5614	9.70e-19	1.84e-16	up	yes
CPA3	5.2880	132.3291	31.2456	8.45e-18	1.41e-15	up	yes
MYH2	5.2167	213.9177	1.6842	3.92e-06	3.47e-05	up	yes
SPRR1B	5.1934	2.5823	0.1579	8.48e-08	1.21e-06	up	yes
CILP	5.1327	17205.5316	20753.3158	8.16e-28	8.69e-25	up	yes
TNMD	5.1309	48.5000	12.5088	2.36e-16	2.77e-14	up	yes
NUPR2	5.1010	8.6456	229.1053	2.57e-08	4.32e-07	up	yes
HBA2	5.0958	3635.7848	44.2632	1.42e-13	9.19e-12	up	yes
