gene_symbol	log2_fold_change	mean_test	mean_control	pvalue	pvalue_adjusted	direction	significant
CCNL1	6.6683	29495.7188	3606.2529	8.75e-62	1.59e-57	up	yes
HSPA9	6.3156	8293.8542	3990.5862	2.76e-56	2.51e-52	up	yes
DEFA1B	6.0934	980.2812	35.4943	6.17e-12	2.61e-10	up	yes
HINT3	5.8174	1051.5312	375.4138	3.43e-54	2.08e-50	up	yes
FABP4	5.2968	341.0833	12.4713	1.22e-15	1.37e-13	up	yes
CXCL11	5.1683	495.0729	562.4368	6.88e-30	8.94e-27	up	yes
BPIFB3	5.1583	3.2812	1.6667	3.47e-11	1.18e-09	up	yes
RACK1	5.1429	42048.9375	25974.4138	1.22e-45	5.57e-42	up	yes
OTOGL	5.0878	3.6667	6.7011	1.88e-09	3.95e-08	up	yes
RD3L	4.8195	3.7344	1.2644	1.72e-11	6.40e-10	up	yes
APOC4-APOC2	4.7444	59.6719	13.0115	3.95e-09	7.42e-08	up	yes
XIRP2	4.7416	14.3125	10.3218	8.36e-14	5.57e-12	up	yes
LY6G6E	4.7008	3.3385	0.6897	3.49e-14	2.58e-12	up	yes
CTNND2	4.6848	8.6823	7.8736	7.70e-17	1.12e-14	up	yes
CCL7	4.6724	404.0885	65.4368	1.25e-07	1.54e-06	up	yes
NXF3	4.5566	13.1302	7.1724	9.60e-19	1.90e-16	up	yes
GNGT1	4.5517	2.3177	3.0345	4.57e-08	6.39e-07	up	yes
DCSTAMP	4.5357	11.1667	192.4828	2.93e-14	2.23e-12	up	yes
SCYGR4	4.5202	1.6667	1.4713	1.11e-04	5.92e-04	up	yes
OR2L13	4.4385	5.2604	2.5172	1.87e-15	1.95e-13	up	yes
TRIM40	4.2762	5.9427	1.1839	2.40e-09	4.86e-08	up	yes
PXT1	4.2696	9.2500	4.0000	9.73e-22	3.05e-19	up	yes
SPANXN4	4.2228	3.3177	0.6322	7.54e-05	4.21e-04	up	yes
ACCSL	4.2007	6.2292	2.6897	4.61e-11	1.53e-09	up	yes
MALRD1	4.1848	3.7031	7.9885	9.25e-09	1.56e-07	up	yes
UGT2B28	4.1573	6.2865	1.9310	4.10e-10	1.03e-08	up	yes
LEFTY2	4.1094	4.0938	2.8161	8.18e-13	4.28e-11	up	yes
CPA6	4.0840	2.8906	3.2299	1.05e-10	3.18e-09	up	yes
CALHM4	4.0649	0.9115	1.7586	1.03e-03	4.00e-03	up	yes
NEURL3	4.0527	25.5521	25.8966	3.31e-23	1.31e-20	up	yes
ZBED9	4.0048	17.3958	33.3103	8.52e-21	2.25e-18	up	yes
EIF4A2	3.9758	10902.1094	5639.5862	3.39e-37	8.82e-34	up	yes
FKBP1C	3.9502	4.9167	3.2989	1.31e-16	1.82e-14	up	yes
NCBP2L	3.9153	15.6146	3.9195	1.21e-14	1.01e-12	up	yes
POTEG	3.8797	3.5729	8.8851	8.22e-07	8.10e-06	up	yes
ENTHD1	3.8745	6.9427	6.7356	5.07e-16	6.14e-14	up	yes
SIAE	3.8534	352.3958	288.7701	1.57e-27	1.24e-24	up	yes
PDE6H	3.8259	9.7604	3.1494	7.99e-14	5.36e-12	up	yes
DYNLT5	3.7912	25.7240	15.7931	4.26e-17	6.51e-15	up	yes
DYTN	3.7821	35.6667	7.0805	1.16e-12	5.87e-11	up	yes
RAB3C	3.7244	9.0729	9.9885	5.30e-18	8.93e-16	up	yes
AMY2A	3.7166	5.1458	1.0575	2.03e-07	2.39e-06	up	yes
CRYM	3.7155	31.1927	14.9540	5.89e-17	8.64e-15	up	yes
RAMP3	3.7089	17.4115	6.4368	8.74e-14	5.78e-12	up	yes
SLCO2A1	3.6729	2.5990	18.8046	1.56e-07	1.88e-06	up	yes
CYP19A1	3.6479	37.2552	31.1149	1.93e-09	4.02e-08	up	yes
PRSS50	3.6074	6.3802	2.2414	2.01e-09	4.18e-08	up	yes
ATP13A5	3.5956	3.2812	6.5287	1.19e-10	3.48e-09	up	yes
PF4V1	3.5866	885.7917	111.1724	3.79e-12	1.70e-10	up	yes
ERC2	3.5080	3.6042	8.8621	1.85e-09	3.89e-08	up	yes
NAT8	3.4946	2.9583	2.8621	1.46e-09	3.15e-08	up	yes
SLC18A3	3.4942	0.9062	1.2069	2.28e-04	1.10e-03	up	yes
CADM2	3.4619	30.9740	10.4138	1.64e-12	7.99e-11	up	yes
NOP56	3.4514	2592.2760	2024.4483	4.59e-25	2.53e-22	up	yes
PLSCR4	3.3983	18.4792	42.3908	5.63e-13	3.09e-11	up	yes
TP53TG3	3.3674	1.8542	1.7356	5.23e-05	3.06e-04	up	yes
CHST8	3.3665	36.2292	8.9655	2.32e-10	6.23e-09	up	yes
KITLG	3.3652	61.5208	116.4023	4.67e-10	1.16e-08	up	yes
HSD17B3	3.3630	16.6302	6.7931	1.13e-10	3.34e-09	up	yes
