direction	term_id	term_name	source	pvalue_adjusted	intersection_size	term_size	precision	recall	genes
up	GO:0005576	extracellular region	GO:CC	1.83e-18	117	4258	0.4449	0.0275	KRT74,COL11A1,LY6G6D,OTOG,KRT5,EPYC,SFRP4,WNT2,ACTN3,FAP,ESM1,CD5L,OLR1,IBSP,BGN,ACAN,LPA,COMP,EGFL6,CST1,SPINK6,BBOX1,ORM1,SLC26A9,SFRP2,MMP3,MMP11,CEL,DKK2,COL1A1,SPP1,CALB1,NOTUM,SPRR2A,ADAMTS12,PRG4,PRSS56,HTRA3,TG,INHBA,KRT6A,MYH13,IL36RN,OPTC,RPTN,SLC22A11,KRT34,ATP6V1B1,NPW,ISM2,TREM1,C6ORF15,WFIKKN2,ITIH6,CTHRC1,KRT35,FNDC1,LIPK,KRT32,POTEE,KRT75,SPINT4,CST6,ACTBL2,CHRDL2,SERPINB4,SELE,TNFRSF6B,CST2,COL10A1,PLA2G2F,MMP12,SPOCK1,FGB,CCN6,OLFML2B,AFP,SULF1,AEBP1,APOH,LILRB2,DPEP1,PLA1A,AOX1,ISLR,CLEC3A,DMP1,FCGR3B,OSM,SLC13A3,LRRC15,PRSS33,SPRR3,WNT11,LBP,TREML4,CXCL9,PROK2,PSG1,ADAMTS16,ADAMTS19,CPA4,COL8A1,ADAM12,CRTAC1,WFDC10B,C1QTNF8,APLN,CPZ,TMEM52B,FGA,WFDC13,PLA2G5,ITGBL1,CXCL8,TNFAIP6,CKM
up	GO:0032501	multicellular organismal process	GO:BP	5.65e-13	151	7322	0.5992	0.0206	KRT74,COL11A1,OTOG,NPSR1,KRT5,EPYC,SFRP4,WNT2,ADCY8,ACTN3,FAP,ESM1,OR52D1,OR51Q1,OLR1,IBSP,BGN,ACAN,LPA,COMP,SOX14,FOXL2,CST1,ORM1,SPRR1B,SFRP2,OR51I2,AQP9,CHRND,GRM8,CEL,APCDD1,DKK2,COL1A1,SLC35D3,POU6F2,SPP1,CALB1,EN1,PCP4,NOTUM,SPRR2A,ADAMTS12,NR5A1,CRYGN,PRSS56,PKP1,CLEC5A,TG,INHBA,PRRX1,JPH3,KRT6A,MYH13,IL36RN,OPTC,ATP6V1B1,NPW,OR13H1,WFIKKN2,OR51I1,CTHRC1,OR51B6,LIPK,NKX2-1,SPTA1,NYAP2,XIRP1,IRX2,POTEE,KRT75,CALHM3,ACTBL2,MYH4,NKD1,CHRDL2,FEZF1,NEUROG2,CST2,SMYD1,COL10A1,PLA2G2F,MMP12,TAS2R38,SPOCK1,ECEL1,STRA6,SOX1,FGB,LCE1E,CCN6,SCN4A,TBX20,AFP,SULF1,EGR3,CKMT2,APOH,LILRB2,SKOR2,GRK1,PTGS2,CLEC3A,DMP1,PTPRQ,AFF2,FOXS1,OSM,SLC13A3,HCAR2,DRD2,MYLK2,SPRR3,WNT11,LBP,TNNC2,DLX5,SMPX,PROK2,PSG1,ADAMTS16,CYP19A1,ADAMTS19,BARX1,OTOF,FZD10,HSD11B1,OR51B2,SPRR1A,GRHL3,TCP11,RLBP1,COL8A1,LMX1B,NKX3-2,EVX1,ADAM12,CRTAC1,APLN,HLA-DPB1,KRT4,MEOX2,FGA,PLA2G5,CXCL8,TNFAIP6,FPR2,SCX,UBD,NRXN2,ALPK3
up	REAC:R-HSA-6809371	Formation of the cornified envelope	REAC	2.90e-12	19	129	0.1275	0.1473	KRT74,KRT5,SPINK6,SPRR1B,KRT23,SPRR2A,PKP1,KRT6A,RPTN,KRT34,KRT35,LIPK,KRT32,KRT75,LCE1E,KRT40,SPRR3,SPRR1A,KRT4
up	GO:0005615	extracellular space	GO:CC	4.84e-12	89	3315	0.3384	0.0268	KRT74,COL11A1,OTOG,KRT5,SFRP4,WNT2,ACTN3,FAP,CD5L,IBSP,BGN,ACAN,LPA,COMP,EGFL6,CST1,BBOX1,ORM1,SLC26A9,SFRP2,MMP3,MMP11,CEL,DKK2,COL1A1,SPP1,CALB1,PRG4,PRSS56,TG,INHBA,KRT6A,MYH13,IL36RN,SLC22A11,KRT34,ATP6V1B1,TREM1,WFIKKN2,CTHRC1,KRT35,KRT32,POTEE,KRT75,CST6,ACTBL2,CHRDL2,SERPINB4,SELE,TNFRSF6B,CST2,COL10A1,MMP12,SPOCK1,FGB,CCN6,OLFML2B,AFP,SULF1,AEBP1,APOH,LILRB2,DPEP1,PLA1A,AOX1,ISLR,CLEC3A,FCGR3B,OSM,SLC13A3,LRRC15,PRSS33,SPRR3,WNT11,LBP,CXCL9,CPA4,COL8A1,CRTAC1,WFDC10B,C1QTNF8,APLN,CPZ,TMEM52B,FGA,WFDC13,CXCL8,TNFAIP6,CKM
up	GO:0009888	tissue development	GO:BP	5.59e-11	66	2032	0.2619	0.0325	KRT74,COL11A1,KRT5,EPYC,SFRP4,WNT2,ACTN3,IBSP,BGN,ACAN,COMP,FOXL2,SPRR1B,SFRP2,CHRND,BNC1,APCDD1,COL1A1,SPP1,KRT23,CALB1,EN1,NOTUM,ADAMTS12,NR5A1,PKP1,INHBA,PRRX1,KRT6A,OPTC,KRT34,CTHRC1,KRT35,LIPK,NKX2-1,KRT32,IRX2,KRT75,CST6,NKD1,CHRDL2,SMYD1,MMP12,STRA6,LCE1E,TBX20,SULF1,KRT40,PTGS2,DMP1,PTPRQ,MYLK2,SPRR3,WNT11,DLX5,ADAMTS16,BARX1,SPRR1A,GRHL3,COL8A1,NKX3-2,PAX7,KRT4,MEOX2,SCX,ALPK3
up	GO:0031012	extracellular matrix	GO:CC	7.02e-11	32	559	0.1217	0.0572	COL11A1,OTOG,EPYC,WNT2,BGN,ACAN,COMP,EGFL6,ORM1,SFRP2,MMP3,MMP11,COL1A1,ADAMTS12,PRG4,OPTC,C6ORF15,CTHRC1,COL10A1,MMP12,FGB,CCN6,OLFML2B,SULF1,AEBP1,APOH,DMP1,LRRC15,WNT11,ADAMTS16,COL8A1,FGA
up	GO:0030312	external encapsulating structure	GO:CC	7.37e-11	32	560	0.1217	0.0571	COL11A1,OTOG,EPYC,WNT2,BGN,ACAN,COMP,EGFL6,ORM1,SFRP2,MMP3,MMP11,COL1A1,ADAMTS12,PRG4,OPTC,C6ORF15,CTHRC1,COL10A1,MMP12,FGB,CCN6,OLFML2B,SULF1,AEBP1,APOH,DMP1,LRRC15,WNT11,ADAMTS16,COL8A1,FGA
down	GO:0071944	cell periphery	GO:CC	3.83e-10	100	6347	0.5319	0.0158	APOA4,MS4A18,APOB,APOC3,APOA1,LCT,CD8A,SI,UNC5D,MTTP,NKG7,MEP1B,PTPRCAP,HEPACAM,SLC2A2,CD96,CD69,S100G,FOLH1,CCKAR,KLRK1,CD3D,OTOP2,HCST,SLC10A2,CYP2C19,COL6A5,ADGRG4,CD52,CD27,ENPP7,ALPI,GCG,CYP2C18,SLC7A9,F11,PTPN22,AQP10,TNFRSF17,CD160,REG3A,SLC6A19,SEPTIN1,VNN1,FABP2,AQP8,RHOH,GPR183,LRRC3B,SLC17A8,PTPRR,CD79A,CYTIP,SLC28A1,CD53,GABRG1,LSP1,RGS1,CXCR4,ANPEP,HLA-G,SLC2A7,CPS1,JAML,CD3E,ADGRG7,ARHGAP15,ADAMDEC1,MUC6,LTB,PIGR,MGAM,PTGER4,SLC15A1,KCNE2,TM4SF20,NLRP6,SYT4,MS4A10,HAPLN1,ADH1A,LPAR4,SYT9,SLC13A1,GLP2R,SLITRK4,GRID2,LY9,HCLS1,PTGDR,HPSE2,HTR3E,XPNPEP2,ENAM,PRSS2,GP2,AMER3,CYP2C9,SLC5A1,DUOXA2
up	REAC:R-HSA-6805567	Keratinization	REAC	4.59e-10	21	216	0.1409	0.0972	KRT74,KRT5,SPINK6,SPRR1B,KRT23,SPRR2A,PKP1,KRT6A,RPTN,KRT34,KRT35,LIPK,KRTAP3-1,KRT32,KRT75,LCE1E,KRT40,SPRR3,SPRR1A,KRT4,KRTAP2-3
up	GO:0048513	animal organ development	GO:BP	8.63e-09	80	3085	0.3175	0.0259	KRT74,COL11A1,KRT5,EPYC,SFRP4,WNT2,ACTN3,IBSP,BGN,ACAN,COMP,SOX14,FOXL2,SPRR1B,SFRP2,CHRND,APCDD1,COL1A1,SPP1,CALB1,EN1,NOTUM,ADAMTS12,NR5A1,CRYGN,PRSS56,PKP1,TG,INHBA,PRRX1,KRT6A,OPTC,ATP6V1B1,CTHRC1,LIPK,NKX2-1,IRX2,POTEE,KRT75,NKD1,TLX1,CHRDL2,FEZF1,NEUROG2,SMYD1,MMP12,STRA6,SOX1,LCE1E,TBX20,AFP,SULF1,EGR3,SKOR2,PTGS2,DMP1,PTPRQ,AFF2,DRD2,MYLK2,SPRR3,WNT11,DLX5,ADAMTS16,CYP19A1,ADAMTS19,BARX1,HSD11B1,SPRR1A,GRHL3,COL8A1,NKX3-2,PAX7,APLN,KRT4,MEOX2,CXCL8,TNFAIP6,SCX,ALPK3
