gene_symbol	log2_fold_change	mean_test	mean_control	pvalue	pvalue_adjusted	direction	significant
PADI6	11.2886	28.3350	0.2486	3.88e-11	4.33e-10	up	yes
MROH5	10.0338	84.4975	0.4407	1.08e-21	7.28e-20	up	yes
TLX3	8.9645	37.4569	0.8249	5.83e-41	1.04e-37	up	yes
FGF3	8.4521	78.4873	5.0565	3.12e-36	2.52e-33	up	yes
TUBA3C	8.1190	24.2792	2.2034	5.92e-17	1.72e-15	up	yes
GAGE12F	8.0693	164.3858	0.8136	1.15e-11	1.40e-10	up	yes
GAGE2A	7.8952	124.6853	0.4237	6.19e-09	4.69e-08	up	yes
PASD1	7.8952	152.7005	0.4689	7.36e-17	2.09e-15	up	yes
USP17L20	6.9503	356.5330	0.4859	1.65e-08	1.17e-07	up	yes
NR5A1	6.7987	35.6193	1.3672	5.88e-41	1.04e-37	up	yes
IRGC	6.6997	25.6954	0.7175	6.30e-18	2.21e-16	up	yes
SFTPC	6.6739	85.6142	0.8475	3.05e-32	1.07e-29	up	yes
C8A	6.5985	44.7868	0.6610	1.44e-16	3.91e-15	up	yes
KCNQ2	6.1632	328.2284	9.0395	1.17e-61	1.14e-57	up	yes
HBE1	6.1624	385.8985	9.3051	8.29e-28	1.59e-25	up	yes
EN2	5.9044	113.0508	2.6215	6.83e-54	4.41e-50	up	yes
ARL14EPL	5.6223	97.3807	2.0339	4.23e-27	7.13e-25	up	yes
IRX4	5.4342	133.5635	3.9153	7.91e-38	7.91e-35	up	yes
GFY	5.3072	71.8680	7.3955	3.85e-27	6.55e-25	up	yes
MAGEA6	5.2850	128.4721	24.5198	2.77e-21	1.71e-19	up	yes
SSX2B	5.2381	39.8223	1.2881	5.65e-29	1.32e-26	up	yes
MAGEA12	5.2345	180.2741	12.6554	3.82e-18	1.38e-16	up	yes
KHDC1L	5.1221	44.7970	0.6328	1.97e-23	1.77e-21	up	yes
PAX2	5.0978	88.7614	4.0226	6.40e-36	4.27e-33	up	yes
CST6	5.0817	253.4772	9.1638	3.01e-48	9.72e-45	up	yes
GABRQ	4.9834	205.4162	6.5198	2.11e-34	9.72e-32	up	yes
OR2T2	4.9404	13.6142	0.4859	1.46e-05	6.00e-05	up	yes
SSX2	4.7801	31.3807	1.1356	3.08e-26	4.38e-24	up	yes
OR51B2	4.7791	44.9949	0.9209	3.01e-16	7.74e-15	up	yes
MAGEB1	4.7488	67.7665	0.4576	1.49e-06	7.37e-06	up	yes
SH2D4B	4.6909	35.9188	2.0565	2.18e-31	6.71e-29	up	yes
CSAG1	4.6787	106.3604	11.4407	5.97e-21	3.45e-19	up	yes
MAGEB2	4.6342	1202.5381	23.3164	2.34e-10	2.27e-09	up	yes
NOTUM	4.5601	1320.7360	152.2938	6.49e-47	1.80e-43	up	yes
C19ORF81	4.5506	43.4162	4.5141	5.96e-36	4.13e-33	up	yes
NKX2-8	4.5407	34.6447	1.5367	7.14e-19	2.97e-17	up	yes
MAGEA11	4.4718	63.8782	9.7627	1.79e-15	4.09e-14	up	yes
MAGEC2	4.4479	35.2386	0.2203	1.88e-09	1.56e-08	up	yes
GAGE2E	4.4387	211.9645	1.8475	2.18e-05	8.61e-05	up	yes
UROC1	4.4234	73.7817	0.7910	1.62e-24	1.72e-22	up	yes
FOXL2	4.4107	34.5025	2.0282	1.76e-20	9.42e-19	up	yes
MAGEA2B	4.4077	291.7208	9.9435	1.27e-12	1.82e-11	up	yes
HOXC10	4.3712	102.7766	8.1243	3.62e-37	3.18e-34	up	yes
TEX26	4.3666	16.0964	0.5198	7.45e-08	4.71e-07	up	yes
SBSN	4.3454	172.2487	2.4859	6.23e-32	2.08e-29	up	yes
INSRR	4.3358	87.9594	3.4972	1.22e-26	1.83e-24	up	yes
AMY1C	4.3280	48.1421	0.3277	3.15e-06	1.46e-05	up	yes
THEG	4.3271	30.4772	1.5537	9.69e-18	3.27e-16	up	yes
PPBP	4.2886	642.9036	42.7797	2.43e-19	1.09e-17	up	yes
TRIM64B	4.2543	61.4213	0.5650	1.67e-04	5.51e-04	up	yes
NKX6-1	4.2316	72.0964	3.4294	3.07e-20	1.59e-18	up	yes
OR51B5	4.2191	417.5228	13.7910	6.19e-32	2.08e-29	up	yes
NXF2	4.2032	47.0355	1.4802	1.96e-07	1.14e-06	up	yes
PGA5	4.1808	33.2386	39.3277	6.56e-13	1.00e-11	up	yes
IFNW1	4.1365	11.2284	0.2090	3.03e-07	1.70e-06	up	yes
NKX2-5	4.1032	38.8883	0.5989	5.48e-11	5.94e-10	up	yes
KRT71	4.0822	50.2081	0.4915	9.03e-10	7.91e-09	up	yes
CT45A1	4.0805	154.6041	5.6384	3.30e-06	1.52e-05	up	yes
MAGEA9B	4.0743	124.5330	6.5876	1.04e-08	7.61e-08	up	yes
KRT32	4.0450	44.9848	3.0452	1.47e-19	6.78e-18	up	yes
LHX2	4.0242	93.7259	5.6667	2.03e-32	7.43e-30	up	yes
SPATA31D4	4.0184	56.0254	0.5819	1.66e-03	4.38e-03	up	yes
NEUROG1	4.0089	11.6193	0.1525	3.02e-03	7.45e-03	up	yes
MAGEC1	3.9932	103.5431	0.8814	2.53e-08	1.74e-07	up	yes
AFP	3.9911	698.5228	107.8079	1.26e-12	1.81e-11	up	yes
NPW	3.9904	627.7157	46.8701	7.11e-39	7.65e-36	up	yes
CALHM3	3.9897	35.5736	2.7006	1.03e-25	1.32e-23	up	yes
MAGEA2	3.9851	507.1168	29.6328	4.99e-10	4.55e-09	up	yes
PRAME	3.9744	252.1117	11.9153	3.93e-25	4.64e-23	up	yes
KRT74	3.9705	56.3147	0.5932	1.85e-10	1.82e-09	up	yes
MAGEA3	3.9599	852.7056	49.7458	7.68e-10	6.82e-09	up	yes
TRIM60	3.9531	30.3756	3.1186	1.51e-11	1.81e-10	up	yes
LHX5	3.9525	48.2132	4.3051	1.16e-22	9.31e-21	up	yes
