direction	term_id	term_name	source	pvalue_adjusted	intersection_size	term_size	precision	recall	genes
down	GO:0009653	anatomical structure morphogenesis	GO:BP	8.42e-53	211	2713	0.3989	0.0778	HOXB9,HOXA7,PHOX2B,NEUROG1,FOXA2,HOXB5,LHX3,HOXA3,HOXD4,COL3A1,COL1A1,ISL1,HOXA4,COL1A2,MDK,HOXB3,HOXC4,SHOX2,HOXB2,KRT18,FBN2,HAND1,RIPK4,COL2A1,CDC42EP5,HOXB4,CRABP2,MMP2,NKX6-1,MAB21L2,KRT19,TGFBI,ANXA2,GPC3,KRT16,HOXD8,IRX2,HOXA9,GDF15,SLC6A3,CCN2,TFAP2B,HOXA2,GATA6,HOXC8,MFAP2,SIX1,ADAMTS15,IGF2,HOXB6,EN1,HOXD3,IGF2BP1,FOXA1,IRX1,NGFR,HOXA5,HOXA10,DCX,SFRP2,SIX6,ST8SIA2,HOXC9,TNNC1,NDNF,SULF1,LHX5,SFRP4,DIO3,LOX,GBX2,MMP14,IRX5,COL5A1,COL8A1,ISL2,HOXB1,PITX2,GATA3,POU4F1,LIF,SOX4,MGP,SERPINE1,PHOX2A,OTX2,HOXA13,ANXA1,POSTN,MMP12,LHX9,FN1,ADAMTS12,MDFI,HMGA2,THBS1,NKX3-2,F2R,CHRNA3,FST,POTEF,FZD7,SOX11,SIX2,FGF19,CCL3,GATA5,TPBG,MNX1,KRT6A,DUSP4,IRX3,CXCL8,SFRP1,HOXA11,POU4F2,FRZB,ONECUT2,ANG,AJUBA,ACTC1,COL4A2,SNAI2,FOLR1,HOXD13,TFAP2A,PAX3,NTN1,FBN3,CD248,AREG,TNFRSF12A,PERP,COL4A1,HAND2,DRD2,NES,HS3ST3A1,HAS2,E2F7,TWIST1,ACTG2,TNC,HOXC10,TUBA1A,IGF2BP2,ONECUT1,PBX3,TUBB3,SALL4,ACTG1,FOXD3,FZD1,HOXB7,ID1,PRL,FKBP10,ALX1,MYMX,PHLDA2,LMX1A,FOXC2,GSC,IGF2BP3,MYL9,MAB21L1,ITGA5,SULF2,TH,HPGD,CCL8,ALPK2,FIGNL2,FZD2,WEE1,DLL3,COL5A2,SERPINF1,SDC2,MYC,IGFBP5,TEAD2,IGFBP7,BMP4,CXCL10,SEMA3C,COL6A1,TMEM100,LHX1,CAV1,LOXL2,VAT1,SPARC,SPINT1,ACTA2,ACKR3,CRIP1,SHH,CCN1,ADM,PFN1,CCNG1,CRISPLD1,RACK1,FOXB1,EGR2,TIFAB,EVX1,CST6,DUSP1,SLITRK6
down	GO:0048513	animal organ development	GO:BP	1.06e-49	221	3085	0.4178	0.0716	HOXB9,HOXA7,PHOX2B,NEUROG1,FOXA2,HOXB5,LHX3,HOXA3,HOXD4,COL3A1,COL1A1,ISL1,HOXA4,COL1A2,MDK,HOXB3,SOX3,HOXC4,SHOX2,HOXB2,FBN2,HAND1,RIPK4,COL2A1,HOXB4,MMP2,NKX6-1,MAB21L2,KRT19,NEUROD4,TGFBI,ANXA2,GPC3,KRT16,HOXD8,EBF2,IRX2,HOXA9,SLC6A3,CCN2,SOX14,TFAP2B,HOXA2,STC2,GATA6,HOXC8,DDC,MFAP2,PTX3,SIX1,IGF2,TIMP1,HOXB6,EN1,HOXD3,IGF2BP1,FOXA1,IRX1,NGFR,HOXA5,HOXA10,DCX,SFRP2,SIX6,HOXC9,TNNC1,NDNF,SPRR2F,SULF1,LHX5,SFRP4,DIO3,LOX,GBX2,MMP14,IRX5,COL5A1,COL8A1,VIM,HOXB1,PITX2,GATA3,POU4F1,LIF,SOX4,MCM2,CD24,OLIG3,PDLIM1,MGP,SERPINE1,PHOX2A,OTX2,HOXA13,ANXA1,H1-5,PRDX4,COL6A3,MMP12,LHX9,BARX1,FN1,CDK1,ADAMTS12,MDFI,HMGA2,NKX3-2,FST,FZD7,SOX11,SIX2,FGF19,CCL3,GATA5,MNX1,KRT6A,KRT4,TLX1,SDC1,NEUROG2,ADAMTS7,IRX3,CXCL8,SFRP1,EN2,HOXA11,POU4F2,FRZB,ONECUT2,RPL10,ANG,ACTC1,SNAI2,FOLR1,HOXD13,TFAP2A,PAX3,NTN1,CDKN1A,DMRTA2,CCNB2,CD248,EGR1,AREG,PERP,COL4A1,COL14A1,HAND2,DRD2,INSM1,NES,HS3ST3A1,HAS2,DSG2,PCDH18,E2F7,TWIST1,ACTG2,TAGLN,TNC,TUBA1A,TNFRSF19,ONECUT1,PBX3,FOS,SCUBE1,ODC1,SALL4,FZD1,HOXB7,ROR2,PRL,ALX1,TYMS,MYL6,MYMX,BNC2,PHLDA2,LMX1A,FOXC2,GSC,OTP,TLX3,MAB21L1,SULF2,TH,KLF10,HPGD,PLK4,ALPK2,DPPA4,FZD2,DLL3,COL5A2,SERPINF1,MYC,IGFBP5,LBH,TEAD2,RCN1,BMP4,CXCL10,SEMA3C,COL6A1,TMEM100,LHX1,CAV1,LOXL2,SPINT1,ACTA2,CRIP1,SHH,CCN1,ADM,DES,PPIB,FOXB1,EGR2,TIFAB,VKORC1,SLITRK6
down	GO:0007275	multicellular organism development	GO:BP	1.24e-45	272	4727	0.5142	0.0575	HOXB9,HOXA7,PHOX2B,NEUROG1,FOXA2,HOXC5,HOXB5,LHX3,HOXA3,HOXD4,COL3A1,COL1A1,ISL1,HOXA4,COL1A2,MDK,HOXB3,SOX3,HOXC4,SHOX2,HOXB2,FBN2,HAND1,COL2A1,HOXB4,CRABP2,MMP2,NKX6-1,MAB21L2,KRT19,NEUROD4,TGFBI,ANXA2,GPC3,HOXD8,IRX2,HOXA9,ASF1B,SLC6A3,CCN2,SOX14,TFAP2B,HOXA2,STC2,GATA6,HOXC8,DDC,MFAP2,LOXL1,PTX3,SIX1,IGF2,TIMP1,HOXC6,HOXB6,EN1,HOXD3,IGF2BP1,FOXA1,IRX1,NGFR,HOXA5,HOXA10,DCX,SFRP2,SIX6,ST8SIA2,HOXC9,TNNC1,NDNF,SULF1,LHX5,SFRP4,DIO3,LOX,GBX2,MMP14,IRX5,COL5A1,COL8A1,VIM,ISL2,HOXB1,PITX2,GATA3,POU4F1,LIF,APOA4,SOX4,CD24,TOP2A,PENK,OLIG3,PDLIM1,MGP,RBP1,SERPINE1,PHOX2A,OTX2,HOXA13,ANXA1,NHLH1,PRDX4,POSTN,MMP12,LHX9,BARX1,FN1,CDK1,ADAMTS12,MDFI,CBX2,HMGA2,PRTG,SLC5A7,LEFTY2,THBS1,NKX3-2,CHRNA3,FST,POTEF,FZD7,SOX11,SIX2,FGF19,CCL3,GATA5,TPBG,MNX1,DUSP4,SDC1,NEUROG2,ADAMTS7,IRX3,CXCL8,SFRP1,IRX6,EN2,HOXA11,POU4F2,FRZB,ONECUT2,RPL10,ANG,ACTC1,COL4A2,S100A10,MBOAT1,SNAI2,FOLR1,PPP1R17,HOXD13,TFAP2A,PAX3,NTN1,CDKN1A,DMRTA2,RPL29,CCNB2,CD248,EGR1,AREG,GPC2,TNFRSF12A,PAFAH1B3,PERP,COL4A1,COL14A1,HAND2,DRD2,INSM1,NES,HS3ST3A1,HAS2,DSG2,PCDH18,E2F7,DYNLT1,TWIST1,TNC,HOXC10,TUBA1A,IGF2BP2,ONECUT1,PBX3,TUBB3,FBLN1,FOS,SCUBE1,ODC1,SALL4,ARF4,ACTG1,FOXD3,FZD1,HOXB7,ID1,ROR2,ZPR1,PRL,FKBP10,ALX1,TYMS,BNC2,PHLDA2,LMX1A,FOXC2,GSC,BCHE,OTP,TLX3,IGF2BP3,NREP,MAB21L1,CDC20,ITGA5,SULF2,TH,DAD1,MARVELD1,KLF10,CCNB1,HPGD,CCL8,PLK4,ALPK2,DPPA4,FIGNL2,FZD2,WEE1,DLL3,COL5A2,SERPINF1,SDC2,MYC,IGFBP5,TEAD2,RCN1,IGFBP7,SCRT2,BMP4,CXCL10,SEMA3C,COL6A1,TMEM100,LHX1,CAV1,LOXL2,AURKB,SPARC,SPINT1,ACTA2,DACH1,ACKR3,CRIP1,SHH,CCN1,ADM,PFN1,RACK1,PPIB,FOXB1,EIF6,EGR2,TIFAB,TSPAN2,EVX1,BTF3,VKORC1,DUSP1,PCDHB2,SLITRK6
down	GO:0048856	anatomical structure development	GO:BP	2.25e-44	309	5997	0.5841	0.0515	HOXB9,HOXA7,PHOX2B,NEUROG1,FOXA2,HOXC5,HOXB5,LHX3,HOXA3,HOXD4,COL3A1,COL1A1,ISL1,HOXA4,COL1A2,MDK,HOXB3,SOX3,HOXC4,SHOX2,HOXB2,KRT18,FBN2,HAND1,RIPK4,COL2A1,CDC42EP5,HOXB4,CRABP2,MMP2,NKX6-1,MAB21L2,KRT19,NEUROD4,TGFBI,ANXA2,GPC3,KRT16,HOXD8,EBF2,IRX2,HOXA9,GDF15,ASF1B,SLC6A3,CCN2,SOX14,TFAP2B,HOXA2,STC2,GATA6,HOXC8,DDC,MFAP2,LOXL1,PTX3,SIX1,ADAMTS15,IGF2,TIMP1,HOXC6,HOXB6,EN1,HOXD3,IGF2BP1,FOXA1,IRX1,NGFR,HOXA5,HOXA10,DCX,SFRP2,SIX6,ST8SIA2,HOXC9,TNNC1,NDNF,SPRR2F,SULF1,LHX5,SFRP4,DIO3,LOX,GBX2,MMP14,IRX5,COL5A1,COL8A1,VIM,ISL2,HOXB1,PITX2,GATA3,POU4F1,LIF,APOA4,SOX4,MCM2,CD24,TOP2A,PENK,OLIG3,MELK,PDLIM1,MGP,RBP1,SERPINE1,PHOX2A,OTX2,HOXA13,ANXA1,H1-5,FSTL1,NHLH1,PRDX4,POSTN,COL6A3,MMP12,LHX9,BARX1,FN1,CDK1,ADAMTS12,MDFI,CBX2,HMGA2,PRTG,SLC5A7,LEFTY2,THBS1,NKX3-2,F2R,TUBB,CHRNA3,FST,POTEF,FZD7,SOX11,SIX2,FGF19,CCL3,GATA5,TPBG,MNX1,KRT6A,DUSP4,KRT4,TLX1,SDC1,NEUROG2,ADAMTS7,IRX3,CXCL8,SFRP1,IRX6,EN2,HOXA11,POU4F2,FRZB,ONECUT2,RPL10,ANG,AJUBA,ACTC1,COL4A2,S100A10,MBOAT1,SNAI2,FOLR1,PPP1R17,HOXD13,TFAP2A,PAX3,NTN1,CDKN1A,DMRTA2,CEP55,FBN3,RPL29,CCNB2,CD248,EGR1,AREG,GPC2,TNFRSF12A,PAFAH1B3,PERP,COL4A1,COL14A1,HAND2,DRD2,INSM1,NES,HS3ST3A1,HAS2,DSG2,PCDH18,E2F7,DYNLT1,TWIST1,ACTG2,TAGLN,TNC,HOXC10,TUBA1A,IGF2BP2,TNFRSF19,ONECUT1,PBX3,TUBB3,FBLN1,FOS,SCUBE1,ODC1,SALL4,ARF4,ACTG1,FOXD3,FZD1,HOXB7,ID1,ROR2,ZPR1,PRL,FKBP10,ALX1,TYMS,MYL6,MYMX,BNC2,PHLDA2,LMX1A,FOXC2,GSC,BCHE,OTP,TLX3,IGF2BP3,NREP,MYL9,MAB21L1,CDC20,ITGA5,DEFB1,SULF2,TH,DAD1,MARVELD1,KLF10,CCNB1,HPGD,CCL8,PLK4,ALPK2,DPPA4,FIGNL2,FZD2,WEE1,DLL3,COL5A2,SERPINF1,SDC2,MYC,IGFBP5,LBH,TEAD2,RCN1,IGFBP7,SCRT2,BMP4,CXCL10,SEMA3C,COL6A1,TMEM100,LHX1,FGG,CAV1,LOXL2,VAT1,AURKB,SPARC,SPINT1,EMP1,ACTA2,DACH1,RPS19,ACKR3,CRIP1,SHH,CCN1,ADM,PFN1,DES,CCNG1,CRISPLD1,RACK1,PPIB,FOXB1,EIF6,EGR2,TIFAB,TSPAN2,EVX1,CST6,BTF3,VKORC1,DUSP1,PCDHB2,SLITRK6
down	GO:0048731	system development	GO:BP	3.74e-44	247	4053	0.4669	0.0609	HOXB9,HOXA7,PHOX2B,NEUROG1,FOXA2,HOXC5,HOXB5,LHX3,HOXA3,HOXD4,COL3A1,COL1A1,ISL1,HOXA4,COL1A2,MDK,HOXB3,SOX3,HOXC4,SHOX2,HOXB2,FBN2,HAND1,COL2A1,HOXB4,CRABP2,MMP2,NKX6-1,MAB21L2,NEUROD4,TGFBI,ANXA2,GPC3,HOXD8,IRX2,HOXA9,SLC6A3,CCN2,SOX14,TFAP2B,HOXA2,GATA6,HOXC8,DDC,MFAP2,LOXL1,PTX3,SIX1,IGF2,TIMP1,HOXC6,HOXB6,EN1,HOXD3,IGF2BP1,FOXA1,IRX1,NGFR,HOXA5,HOXA10,DCX,SFRP2,SIX6,ST8SIA2,HOXC9,TNNC1,NDNF,SULF1,LHX5,SFRP4,DIO3,LOX,GBX2,MMP14,IRX5,COL5A1,COL8A1,VIM,ISL2,HOXB1,PITX2,GATA3,POU4F1,LIF,APOA4,SOX4,CD24,PENK,OLIG3,PDLIM1,MGP,SERPINE1,PHOX2A,OTX2,HOXA13,ANXA1,NHLH1,PRDX4,POSTN,MMP12,LHX9,BARX1,FN1,CDK1,ADAMTS12,MDFI,HMGA2,PRTG,THBS1,NKX3-2,CHRNA3,FST,POTEF,FZD7,SOX11,SIX2,FGF19,CCL3,GATA5,TPBG,MNX1,SDC1,NEUROG2,ADAMTS7,IRX3,CXCL8,SFRP1,IRX6,EN2,HOXA11,POU4F2,FRZB,ONECUT2,ANG,ACTC1,COL4A2,S100A10,MBOAT1,SNAI2,FOLR1,PPP1R17,HOXD13,TFAP2A,PAX3,NTN1,CDKN1A,DMRTA2,CCNB2,CD248,EGR1,AREG,GPC2,TNFRSF12A,PAFAH1B3,COL4A1,COL14A1,HAND2,DRD2,INSM1,NES,HS3ST3A1,HAS2,DSG2,PCDH18,E2F7,DYNLT1,TWIST1,TNC,HOXC10,TUBA1A,IGF2BP2,ONECUT1,PBX3,TUBB3,FOS,SCUBE1,ODC1,SALL4,ARF4,ACTG1,FZD1,HOXB7,ID1,ROR2,ZPR1,PRL,FKBP10,ALX1,TYMS,BNC2,LMX1A,FOXC2,GSC,BCHE,OTP,TLX3,IGF2BP3,NREP,MAB21L1,CDC20,ITGA5,SULF2,TH,MARVELD1,HPGD,CCL8,ALPK2,DPPA4,FIGNL2,FZD2,WEE1,DLL3,COL5A2,SERPINF1,SDC2,MYC,IGFBP5,TEAD2,RCN1,IGFBP7,SCRT2,BMP4,CXCL10,SEMA3C,COL6A1,TMEM100,LHX1,CAV1,LOXL2,SPARC,SPINT1,ACTA2,ACKR3,CRIP1,SHH,CCN1,ADM,PFN1,PPIB,FOXB1,EGR2,TIFAB,TSPAN2,EVX1,VKORC1,PCDHB2,SLITRK6
down	GO:0032502	developmental process	GO:BP	3.20e-43	323	6553	0.6106	0.0493	HOXB9,HOXA7,PHOX2B,NEUROG1,FOXA2,HOXC5,HOXB5,LHX3,HOXA3,HOXD4,DLK1,COL3A1,COL1A1,ISL1,HOXA4,COL1A2,MDK,HOXB3,SOX3,HOXC4,SHOX2,HOXB2,KRT18,FBN2,HAND1,RIPK4,COL2A1,CDC42EP5,HOXB4,CRABP2,MMP2,NKX6-1,MAB21L2,KRT19,NEUROD4,TGFBI,ANXA2,GPC3,KRT16,HOXD8,EBF2,IRX2,PRAME,HOXA9,GDF15,ASF1B,SLC6A3,CCN2,SOX14,TFAP2B,HOXA2,STC2,MRC2,GATA6,HOXC8,DDC,MFAP2,LOXL1,PTX3,SIX1,ADAMTS15,IGF2,TIMP1,HOXC6,HOXB6,EN1,HOXD3,IGF2BP1,FOXA1,C1QL4,IRX1,NGFR,HOXA5,HOXA10,DCX,EGFL6,SFRP2,SIX6,ST8SIA2,HOXC9,TNNC1,NDNF,SPRR2F,SULF1,LHX5,SFRP4,DIO3,LOX,GBX2,MMP14,IRX5,COL5A1,COL8A1,VIM,ISL2,HOXB1,PITX2,GATA3,POU4F1,LIF,APOA4,SOX4,MCM2,CD24,GAS1,TOP2A,PENK,OLIG3,MELK,PDLIM1,MGP,RBP1,SERPINE1,PHOX2A,OTX2,HOXA13,ANXA1,H1-5,FSTL1,NHLH1,PRDX4,POSTN,COL6A3,MMP12,LHX9,BARX1,FN1,CDK1,ADAMTS12,MDFI,CBX2,HMGA2,PRTG,SLC5A7,LEFTY2,THBS1,NKX3-2,F2R,TUBB,CHRNA3,FST,POTEF,FZD7,SOX11,SIX2,CLIC1,FGF19,CCL3,GATA5,TPBG,PTTG1,MNX1,KRT6A,DUSP4,KRT4,TLX1,SDC1,NEUROG2,ADAMTS7,TWIST2,IRX3,CXCL8,SFRP1,IRX6,EN2,HOXA11,POU4F2,FRZB,ONECUT2,RPL10,ANG,AJUBA,ACTC1,COL4A2,S100A10,MBOAT1,SNAI2,FOLR1,PPP1R17,HOXD13,TFAP2A,PAX3,NTN1,CDKN1A,RAB38,DMRTA2,CEP55,FBN3,RPL29,CCNB2,CD248,EGR1,AREG,GPC2,TNFRSF12A,PAFAH1B3,PERP,COL4A1,COL14A1,HAND2,MMP11,DRD2,INSM1,NES,HS3ST3A1,HAS2,DSG2,PCDH18,E2F7,DYNLT1,TWIST1,ACTG2,RPS3A,TAGLN,TNC,HOXC10,TUBA1A,IGF2BP2,TNFRSF19,ONECUT1,PBX3,TUBB3,FBLN1,FOS,SCUBE1,ODC1,SALL4,ARF4,ACTG1,FOXD3,FZD1,HOXB7,ID1,ROR2,ZPR1,PRL,FKBP10,ALX1,TYMS,MYL6,MYMX,BNC2,SINHCAF,PHLDA2,LMX1A,FOXC2,GSC,BCHE,OTP,TLX3,IGF2BP3,NREP,MYL9,MAB21L1,CDC20,ITGA5,DEFB1,SULF2,TH,DAD1,MARVELD1,KLF10,CCNB1,HPGD,CCL8,PLK4,ALPK2,DPPA4,FIGNL2,FZD2,WEE1,DLL3,COL5A2,SERPINF1,SDC2,MYC,IGFBP5,TRIB3,LBH,TEAD2,RCN1,IGFBP7,SCRT2,BMP4,CXCL10,SEMA3C,COL6A1,TMEM100,LHX1,FGG,CAV1,LOXL2,VAT1,AURKB,SPARC,SPINT1,EMP1,ACTA2,DACH1,RPS19,ACKR3,CRIP1,SHH,CCN1,ADM,PFN1,DES,CCNG1,CRISPLD1,RACK1,PPIB,FOXB1,EIF6,EGR2,TIFAB,TSPAN2,EVX1,CST6,BTF3,VKORC1,DUSP1,PCDHB2,SLITRK6
down	GO:0009888	tissue development	GO:BP	3.93e-43	168	2032	0.3176	0.0827	HOXA7,PHOX2B,FOXA2,HOXB5,LHX3,HOXA3,COL3A1,COL1A1,ISL1,COL1A2,MDK,HOXB3,HOXC4,SHOX2,HOXB2,FBN2,HAND1,RIPK4,COL2A1,HOXB4,CRABP2,MMP2,NKX6-1,KRT19,TGFBI,GPC3,KRT16,EBF2,IRX2,CCN2,TFAP2B,STC2,GATA6,SIX1,IGF2,TIMP1,EN1,HOXD3,FOXA1,IRX1,NGFR,HOXA5,SFRP2,TNNC1,SPRR2F,SULF1,SFRP4,LOX,GBX2,MMP14,COL5A1,COL8A1,VIM,PITX2,GATA3,POU4F1,LIF,SOX4,CD24,MGP,SERPINE1,HOXA13,ANXA1,FSTL1,POSTN,MMP12,BARX1,FN1,CDK1,ADAMTS12,HMGA2,NKX3-2,TUBB,FST,FZD7,SOX11,SIX2,CCL3,GATA5,KRT6A,DUSP4,KRT4,SDC1,ADAMTS7,IRX3,SFRP1,HOXA11,POU4F2,FRZB,ONECUT2,AJUBA,ACTC1,COL4A2,SNAI2,FOLR1,HOXD13,TFAP2A,NTN1,CDKN1A,DMRTA2,EGR1,AREG,PERP,COL4A1,COL14A1,HAND2,INSM1,HS3ST3A1,HAS2,DSG2,E2F7,TWIST1,ACTG2,TAGLN,TNC,TNFRSF19,ONECUT1,TUBB3,FOS,SCUBE1,SALL4,ACTG1,FZD1,HOXB7,ROR2,ALX1,TYMS,MYL6,BNC2,PHLDA2,FOXC2,GSC,OTP,ITGA5,SULF2,KLF10,PLK4,ALPK2,DPPA4,FIGNL2,FZD2,DLL3,COL5A2,MYC,IGFBP5,LBH,TEAD2,BMP4,CXCL10,SEMA3C,COL6A1,TMEM100,LHX1,CAV1,LOXL2,SPINT1,EMP1,ACTA2,CRIP1,SHH,CCN1,ADM,PFN1,FOXB1,EGR2,CST6,DUSP1,SLITRK6
down	GO:0009887	animal organ morphogenesis	GO:BP	1.95e-42	119	1042	0.2250	0.1142	HOXB9,HOXA7,NEUROG1,HOXB5,LHX3,HOXA3,HOXD4,COL3A1,COL1A1,ISL1,HOXA4,COL1A2,MDK,HOXB3,HOXC4,SHOX2,HOXB2,FBN2,HAND1,COL2A1,HOXB4,MMP2,NKX6-1,GPC3,HOXD8,IRX2,HOXA9,CCN2,TFAP2B,HOXA2,GATA6,HOXC8,MFAP2,SIX1,IGF2,HOXB6,HOXD3,FOXA1,IRX1,NGFR,HOXA5,SFRP2,SIX6,HOXC9,TNNC1,SULF1,SFRP4,DIO3,GBX2,MMP14,IRX5,COL5A1,COL8A1,HOXB1,PITX2,GATA3,POU4F1,LIF,SOX4,MGP,SERPINE1,HOXA13,LHX9,MDFI,NKX3-2,FST,SOX11,SIX2,FGF19,GATA5,IRX3,SFRP1,HOXA11,FRZB,ONECUT2,ACTC1,SNAI2,FOLR1,HOXD13,TFAP2A,PAX3,NTN1,AREG,PERP,HAND2,HS3ST3A1,HAS2,TWIST1,ACTG2,TNC,TUBA1A,PBX3,FZD1,HOXB7,ALX1,PHLDA2,FOXC2,GSC,SULF2,TH,ALPK2,FZD2,COL5A2,MYC,IGFBP5,TEAD2,BMP4,SEMA3C,COL6A1,TMEM100,LHX1,CAV1,ACTA2,CRIP1,SHH,CCN1,ADM,TIFAB,SLITRK6
down	GO:0009790	embryo development	GO:BP	2.16e-42	124	1135	0.2344	0.1093	HOXB9,HOXA7,NEUROG1,FOXA2,HOXC5,HOXB5,HOXA3,HOXD4,COL3A1,COL1A1,ISL1,HOXA4,HOXB3,HOXC4,SHOX2,HOXB2,FBN2,HAND1,COL2A1,HOXB4,CRABP2,MMP2,MAB21L2,KRT19,GPC3,HOXD8,IRX2,HOXA9,ASF1B,HOXA2,GATA6,MFAP2,SIX1,IGF2,HOXC6,HOXB6,EN1,HOXD3,FOXA1,IRX1,HOXA5,HOXA10,SFRP2,HOXC9,SULF1,GBX2,MMP14,IRX5,COL5A1,COL8A1,HOXB1,PITX2,GATA3,LIF,TOP2A,OTX2,HOXA13,FN1,CDK1,MDFI,HMGA2,SLC5A7,NKX3-2,FZD7,SOX11,SIX2,DUSP4,IRX3,CXCL8,SFRP1,EN2,HOXA11,FRZB,RPL10,COL4A2,FOLR1,HOXD13,TFAP2A,NTN1,CDKN1A,CCNB2,HAND2,NES,E2F7,TWIST1,HOXC10,PBX3,SALL4,FOXD3,HOXB7,ZPR1,FKBP10,ALX1,PHLDA2,FOXC2,GSC,ITGA5,SULF2,TH,DAD1,CCNB1,PLK4,FZD2,DLL3,COL5A2,TEAD2,RCN1,BMP4,SEMA3C,COL6A1,TMEM100,LHX1,SPINT1,SHH,CCN1,ADM,PFN1,RACK1,FOXB1,TIFAB,EVX1,BTF3,DUSP1,SLITRK6
down	GO:0031012	extracellular matrix	GO:CC	1.92e-39	84	559	0.1556	0.1503	COL3A1,COL1A1,COL1A2,TFPI2,MDK,LUM,FBN2,COL2A1,MMP2,TGFBI,ANXA2,GPC3,GDF15,MFAP4,CCN2,COL6A2,CPA3,MFAP2,LOXL1,PTX3,COL4A6,ADAMTS15,TIMP1,EGFL6,SFRP2,NDNF,SULF1,LOX,MMP14,COL5A1,COL8A1,MMP10,APOA4,MXRA5,MGP,SERPINE1,ANXA1,GPC6,POSTN,COL6A3,MMP12,FN1,ADAMTS12,LEFTY2,THBS1,ADAMTS7,SFRP1,MMP1,SLPI,ANG,COL4A2,S100A10,NID2,LTBP2,PCOLCE,NTN1,FBN3,ANXA5,CD248,FBLN2,GPC2,COL4A1,TPSAB1,MMRN1,COL14A1,MMP11,TNC,FBLN1,FGFBP3,LGALS3BP,COL5A2,SERPINF1,SDC2,COL9A3,IGFBP7,COL6A1,FGG,LOXL2,SPARC,ACTA2,SHH,CCN1,IGFBPL1,FBLN5
