gene_symbol	log2_fold_change	mean_test	mean_control	pvalue	pvalue_adjusted	direction	significant
ASB17	3.2090	12.7937	2.7833	2.00e-17	3.14e-16	up	yes
PRAMEF20	3.1807	0.7831	0.2333	3.47e-04	8.76e-04	up	yes
KPRP	2.8279	4.8148	0.6500	3.93e-03	8.07e-03	up	yes
FAM177B	2.8245	176.7725	71.8500	8.49e-25	3.57e-23	up	yes
OR13G1	2.7946	4.2593	1.4167	1.62e-14	1.80e-13	up	yes
FAM151A	2.7350	51.0265	20.4444	1.26e-24	5.18e-23	up	yes
SAGE1	2.7164	3.6455	3.4333	2.92e-08	1.40e-07	up	yes
KRTAP11-1	2.7042	1.1693	0.1667	5.26e-05	1.54e-04	up	yes
ZP4	2.6888	0.7460	1.8000	5.73e-04	1.39e-03	up	yes
RHOXF2B	2.5099	1.5926	0.7556	1.71e-04	4.57e-04	up	yes
FCGR1A	2.4389	1043.3016	977.0667	1.01e-15	1.31e-14	up	yes
OR2M5	2.4350	3.0423	1.4111	4.13e-10	2.59e-09	up	yes
FCGR2C	2.3009	109.8095	71.0889	1.86e-14	2.04e-13	up	yes
OR2T34	2.2525	1.0265	0.4611	3.24e-03	6.78e-03	up	yes
OR14A2	2.2370	7.0794	1.8056	9.81e-09	5.08e-08	up	yes
OR2M7	2.2234	1.9630	0.8389	2.11e-05	6.61e-05	up	yes
GBP7	2.2219	20.0370	10.1111	2.24e-17	3.50e-16	up	yes
LCE5A	2.2167	1.4233	0.4944	7.89e-05	2.23e-04	up	yes
CHIA	2.2097	0.8466	0.6278	1.23e-03	2.79e-03	up	yes
OR14K1	2.2038	0.8466	0.2556	9.61e-05	2.68e-04	up	yes
CRNN	2.1732	1.5238	0.7611	1.06e-04	2.94e-04	up	yes
OR11L1	2.1524	0.7778	0.2889	1.16e-03	2.66e-03	up	yes
ETDB	2.1223	4.3280	1.0444	4.94e-06	1.71e-05	up	yes
HOXC12	2.1145	1.4392	4.9333	4.20e-03	8.58e-03	up	yes
BPIFA1	2.0860	1.0159	0.4333	3.88e-03	7.99e-03	up	yes
TMIGD3	2.0818	462.2381	581.2333	2.01e-11	1.49e-10	up	yes
CRP	2.0730	0.9788	0.7833	5.51e-04	1.34e-03	up	yes
AMY1C	2.0627	2.3545	1.6611	6.75e-06	2.28e-05	up	yes
PADI2	2.0498	2607.6878	2243.1556	1.63e-17	2.58e-16	up	yes
GPR37L1	2.0455	3296.8783	2003.8333	1.40e-20	3.43e-19	up	yes
TLR5	2.0404	405.7619	245.0444	1.80e-24	7.18e-23	up	yes
IFNA13	2.0212	2.3704	1.7000	9.45e-06	3.12e-05	up	yes
FAM170B	2.0179	1.4444	0.4667	4.21e-04	1.05e-03	up	yes
OR1E2	2.0161	2.1164	1.1333	3.76e-07	1.54e-06	up	yes
TEX50	2.0153	12.6085	6.2000	4.55e-10	2.84e-09	up	yes
FAM90A13P	2.0100	2.9312	3.9389	7.37e-04	1.75e-03	up	yes
RNASE13	2.0090	0.9735	0.9667	6.96e-05	1.99e-04	up	yes
HOXB9	-12.5454	16.2698	1013.8444	1.31e-31	1.38e-29	down	yes
HOXA7	-10.4814	3.1217	94.3278	3.98e-38	9.50e-36	down	yes
PHOX2B	-10.1830	1.6032	227.1722	3.16e-24	1.23e-22	down	yes
NEUROG1	-10.0089	2.8254	99.2444	2.37e-24	9.37e-23	down	yes
FOXA2	-9.7603	2.8730	99.1056	1.38e-21	3.90e-20	down	yes
HOXC5	-8.4176	1.8148	93.3611	4.75e-14	4.91e-13	down	yes
HOXB5	-7.2984	5.7196	1435.0722	1.27e-22	4.10e-21	down	yes
LHX3	-7.1045	0.8254	1110.1889	2.38e-28	1.69e-26	down	yes
HOXA3	-6.6768	9.2116	332.7111	3.45e-34	5.33e-32	down	yes
SLC18A3	-6.6767	0.9524	198.9722	1.67e-28	1.23e-26	down	yes
HOXD4	-6.6652	2.7566	111.6944	1.22e-18	2.32e-17	down	yes
DLK1	-6.6401	41.1217	5887.0500	2.95e-49	2.38e-46	down	yes
COL3A1	-6.3808	66.8836	14797.5833	3.35e-76	1.62e-72	down	yes
COL1A1	-6.1858	191.3333	22714.6833	1.09e-107	2.11e-103	down	yes
ISL1	-6.0800	5.2116	1505.6278	7.41e-41	2.51e-38	down	yes
HOXA4	-5.8313	5.2751	223.3056	2.03e-17	3.19e-16	down	yes
COL1A2	-5.4728	305.0899	18556.4444	3.94e-96	3.81e-92	down	yes
TFPI2	-5.4583	8.9524	1140.2444	1.73e-57	3.04e-54	down	yes
MDK	-5.1667	420.5767	9214.2778	1.35e-89	8.72e-86	down	yes
HOXB3	-5.1491	20.4074	921.9000	1.12e-35	2.13e-33	down	yes
SOX3	-5.1445	56.4286	472.7444	7.37e-57	1.10e-53	down	yes
LUM	-4.9609	23.9577	1922.8167	1.68e-58	3.60e-55	down	yes
PRPH	-4.8723	8.5767	695.6111	8.42e-52	1.02e-48	down	yes
CRABP1	-4.8508	163.0635	3559.3444	1.77e-59	4.29e-56	down	yes
HOXC4	-4.7549	11.8677	380.4500	1.77e-34	2.84e-32	down	yes
TMSB15A	-4.7085	81.2063	1388.1667	2.47e-36	4.98e-34	down	yes
SHOX2	-4.6843	13.0370	352.4444	6.54e-55	9.03e-52	down	yes
HOXB2	-4.6441	10.6772	678.9056	1.02e-29	8.90e-28	down	yes
KRT18	-4.5559	168.0423	1312.9111	2.51e-51	2.55e-48	down	yes
FBN2	-4.5095	156.3651	1843.2722	7.67e-60	2.12e-56	down	yes
HAND1	-4.4636	0.8889	437.0611	3.64e-17	5.53e-16	down	yes
RIPK4	-4.4430	4.1429	84.0722	1.46e-21	4.09e-20	down	yes
ECEL1	-4.4014	44.9418	1180.5444	1.29e-39	3.63e-37	down	yes
COL2A1	-4.3847	121.5238	1389.4778	1.93e-33	2.61e-31	down	yes
CDC42EP5	-4.3802	1.7725	34.4444	3.36e-09	1.85e-08	down	yes
HOXB4	-4.3176	7.6984	538.3444	2.30e-19	4.73e-18	down	yes
CRABP2	-4.2740	225.4127	2828.6389	3.31e-57	5.33e-54	down	yes
MMP2	-4.2557	125.6825	2970.4889	1.20e-47	8.59e-45	down	yes
NKX6-1	-4.2227	12.5238	356.5944	3.29e-39	8.72e-37	down	yes
CAPN6	-4.1313	5.9471	179.9944	2.80e-15	3.36e-14	down	yes
CPXM1	-4.1109	78.1270	1135.1611	2.88e-29	2.29e-27	down	yes
MAB21L2	-4.1086	38.1640	1167.7889	6.49e-43	2.67e-40	down	yes
CD1C	-4.0761	0.5714	53.6556	1.17e-07	5.16e-07	down	yes
KRT19	-4.0753	35.3333	1070.6444	8.32e-35	1.38e-32	down	yes
NEUROD4	-4.0319	5.4392	345.0222	3.35e-18	5.99e-17	down	yes
IGFBP2	-4.0193	423.5132	12411.7944	4.84e-58	9.36e-55	down	yes
TGFBI	-3.9848	108.3386	2636.1722	4.46e-45	2.47e-42	down	yes
ANXA2	-3.9768	1140.4074	8256.7111	4.66e-67	1.80e-63	down	yes
GPC3	-3.9299	132.0741	1590.8222	5.81e-64	1.87e-60	down	yes
CCL4	-3.9267	26.6190	12511.1556	2.00e-18	3.71e-17	down	yes
KRT16	-3.9213	1.5397	137.6944	5.26e-11	3.72e-10	down	yes
HOXD8	-3.8860	5.6138	63.7667	6.18e-18	1.06e-16	down	yes
EBF2	-3.8803	30.0741	648.0833	2.69e-48	2.00e-45	down	yes
IRX2	-3.8571	46.2698	690.5833	3.04e-39	8.16e-37	down	yes
PRAME	-3.8124	11.0212	93.4056	2.62e-06	9.48e-06	down	yes
HOXA9	-3.7960	7.1905	64.8389	3.36e-10	2.14e-09	down	yes
GDF15	-3.7924	21.5026	518.7833	1.45e-46	9.35e-44	down	yes
MFAP4	-3.7831	51.9577	1070.3111	3.09e-51	2.99e-48	down	yes
ASF1B	-3.7766	16.6138	102.7778	2.96e-42	1.14e-39	down	yes
SLC6A3	-3.7652	0.2646	94.4778	7.20e-08	3.26e-07	down	yes
