gene_symbol	log2_fold_change	mean_test	mean_control	pvalue	pvalue_adjusted	direction	significant
DEFA1B	6.6270	2378.2296	7.9919	3.19e-24	8.72e-23	up	yes
CCL8	4.4703	1814.1327	22.8211	6.04e-19	7.88e-18	up	yes
OTOF	4.2695	1403.0357	83.9675	5.99e-34	8.63e-32	up	yes
RNASE1	3.8004	1907.2500	815.2602	2.53e-21	4.50e-20	up	yes
CXCL10	3.7821	2701.0663	150.4065	9.73e-28	4.38e-26	up	yes
SPP1	3.7321	12716.3010	1342.6016	6.91e-21	1.15e-19	up	yes
TREM2	3.6973	466.9796	69.4390	2.07e-13	1.50e-12	up	yes
LGMN	3.6134	5237.7857	889.7236	7.83e-34	1.10e-31	up	yes
FPR3	3.5084	2053.0561	384.5285	1.02e-19	1.46e-18	up	yes
APOE	3.4827	1361.1429	929.6423	7.89e-20	1.15e-18	up	yes
GPNMB	3.3992	6058.7041	4429.4634	1.62e-16	1.62e-15	up	yes
C1QC	3.2933	698.3214	258.7480	2.19e-13	1.58e-12	up	yes
OLFML2B	3.2702	271.8316	49.6341	1.56e-18	1.95e-17	up	yes
APOC1	3.2673	605.7296	229.1463	2.25e-12	1.46e-11	up	yes
CCL13	3.1150	39.3367	10.5041	8.73e-06	2.82e-05	up	yes
VSIG4	3.1128	555.0816	139.0163	5.10e-24	1.35e-22	up	yes
RSAD2	2.9496	11737.2959	1375.6829	1.35e-26	5.12e-25	up	yes
DEFA3	2.9006	8005.0102	195.9268	4.94e-10	2.56e-09	up	yes
SIGLEC1	2.8677	3697.8980	522.4390	5.42e-18	6.39e-17	up	yes
C1QB	2.8052	774.0357	311.6016	1.85e-14	1.49e-13	up	yes
MRC1	2.7085	920.1429	278.2033	4.52e-12	2.88e-11	up	yes
LY6E	2.6219	16571.9184	2899.0488	6.03e-25	1.83e-23	up	yes
CCL7	2.6212	859.1990	312.6260	4.42e-04	1.11e-03	up	yes
FN1	2.6043	2467.6276	1501.6911	2.03e-13	1.48e-12	up	yes
DEFA1	2.5600	8125.8878	302.1870	1.96e-06	6.84e-06	up	yes
FUCA1	2.5215	2927.1786	1282.2764	1.51e-23	3.76e-22	up	yes
APOC4-APOC2	2.5014	100.9694	13.4797	2.18e-05	6.66e-05	up	yes
DEFA4	2.4629	289.3878	9.4797	1.12e-08	5.07e-08	up	yes
CD163	2.4612	5293.3061	1252.8862	1.79e-17	1.98e-16	up	yes
IFI44L	2.4282	13575.8520	1562.6585	1.17e-25	3.91e-24	up	yes
TNFSF12-TNFSF13	2.4274	378.4388	128.0325	3.03e-14	2.39e-13	up	yes
LTF	2.4161	8544.7449	299.6260	1.55e-09	7.64e-09	up	yes
IFI44	2.3575	5520.6531	899.7886	5.15e-30	3.39e-28	up	yes
IFI27	2.3552	5167.0306	1038.8537	6.03e-14	4.62e-13	up	yes
DEFB1	2.3460	7.3827	2.1626	9.42e-04	2.25e-03	up	yes
IFIT1	2.3425	9388.4592	1036.5447	1.08e-18	1.38e-17	up	yes
IFI6	2.3097	13091.3061	3192.4228	4.21e-24	1.13e-22	up	yes
HLA-DPA1	2.2931	1198.6990	397.8293	6.51e-20	9.57e-19	up	yes
IL4I1	2.2707	708.0663	364.0894	7.55e-12	4.70e-11	up	yes
MSR1	2.2495	1330.1327	450.8374	2.30e-15	2.02e-14	up	yes
CCL2	2.2359	3877.1531	2168.7642	2.07e-06	7.24e-06	up	yes
CD177	2.2134	439.9592	47.0000	2.84e-06	9.74e-06	up	yes
CXCL11	2.1828	651.8673	52.5285	3.01e-07	1.16e-06	up	yes
CMPK2	2.1762	3191.2755	769.6667	2.32e-21	4.17e-20	up	yes
HERC5	2.1520	4174.0255	768.6016	2.66e-26	9.58e-25	up	yes
ISG15	2.1444	17712.2398	3123.6667	2.06e-19	2.86e-18	up	yes
USP18	2.1172	1873.7551	316.3740	5.58e-20	8.28e-19	up	yes
RPS18	2.1034	12907.7959	2407.7642	3.97e-13	2.80e-12	up	yes
OAS3	2.0948	14606.2653	2283.2927	1.09e-19	1.56e-18	up	yes
OLFM4	2.0718	921.4439	31.4553	4.44e-06	1.49e-05	up	yes
MMP8	2.0387	1073.8367	44.0000	7.46e-07	2.75e-06	up	yes
CAMP	2.0284	1015.3776	110.3577	2.72e-09	1.31e-08	up	yes
MX1	2.0234	18638.9388	3659.6585	1.61e-23	3.98e-22	up	yes
TMEM37	2.0203	31.0663	43.8130	4.39e-05	1.28e-04	up	yes
KCNK13	2.0198	72.4898	19.7317	2.66e-11	1.56e-10	up	yes
TEAD4	-8.1936	0.6888	31.8943	4.53e-32	4.85e-30	down	yes
COL11A1	-7.3224	1.1276	608.9675	1.91e-14	1.54e-13	down	yes
DMP1	-7.1630	0.2143	7.3333	6.65e-11	3.77e-10	down	yes
MGAT4C	-7.1367	1.2857	13.9919	3.87e-24	1.04e-22	down	yes
GJA5	-6.9924	0.3724	588.7480	1.86e-07	7.37e-07	down	yes
HAPLN1	-6.8684	0.6531	69.6098	8.38e-11	4.70e-10	down	yes
TBX18	-6.6990	0.7092	28.5447	5.03e-21	8.56e-20	down	yes
IL36G	-6.6831	0.5714	214.6911	1.03e-17	1.18e-16	down	yes
C2ORF78	-6.6650	0.1224	4.0407	6.90e-12	4.30e-11	down	yes
CCL20	-6.6115	56.3929	1519.8780	4.14e-68	7.98e-64	down	yes
AKAIN1	-6.6078	0.2806	2.2276	4.57e-08	1.92e-07	down	yes
XAGE1B	-6.5969	0.9745	80.3496	7.13e-16	6.63e-15	down	yes
TRIM49B	-6.5772	0.0918	1.9919	6.89e-07	2.54e-06	down	yes
FIBIN	-6.5762	0.1786	2.9350	1.92e-11	1.15e-10	down	yes
FHL5	-6.5621	0.2347	2.3577	1.40e-08	6.23e-08	down	yes
GJA8	-6.5377	0.1071	1.8862	4.26e-07	1.61e-06	down	yes
